交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260522,IF2606,1,中信期货(代客),27738,-7556,国泰君安(代客),21478,-2080,中信期货(代客),24939,-3128
20260522,IF2606,2,国泰君安(代客),23755,-5558,中信期货(代客),17941,-3394,国泰君安(代客),18993,-1377
20260522,IF2606,3,东证期货(代客),9233,-2102,东证期货(代客),7288,-53,华泰期货(代客),8101,-288
20260522,IF2606,4,海通期货(代客),8416,-2345,广发期货(代客),6378,-492,东证期货(代客),6725,-642
20260522,IF2606,5,国信期货(代客),3981,-1731,海通期货(代客),5791,-2044,海通期货(代客),6476,-1416
20260522,IF2606,6,中泰期货(代客),3871,-1673,华泰期货(代客),5382,-259,银河期货(代客),5390,-277
20260522,IF2606,7,广发期货(代客),3812,-1399,银河期货(代客),4140,195,国投期货(代客),4922,681
20260522,IF2606,8,银河期货(代客),3226,-1862,永安期货(代客),3822,72,瑞银期货(代客),3961,99
20260522,IF2606,9,华闻期货(代客),3207,-1724,光大期货(代客),3578,-103,国信期货(代客),3887,-442
20260522,IF2606,10,光大期货(代客),3138,-1162,中信建投(代客),3447,216,申银万国(代客),3741,233
20260522,IF2606,11,中信建投(代客),2958,-745,国投期货(代客),2720,647,中银期货(代客),3645,156
20260522,IF2606,12,华泰期货(代客),2779,-2076,南华期货(代客),2440,-253,招商期货(代客),3417,-132
20260522,IF2606,13,国投期货(代客),2724,500,中泰期货(代客),2410,-398,广发期货(代客),3233,-190
20260522,IF2606,14,南华期货(代客),2028,-380,兴证期货(代客),2380,-172,光大期货(代客),3076,-397
20260522,IF2606,15,永安期货(代客),1843,-1587,大越期货(代客),2364,-175,中信建投(代客),2895,122
20260522,IF2606,16,兴证期货(代客),1781,-511,申银万国(代客),2322,7,中金期货(代客),2654,-180
20260522,IF2606,17,五矿期货(代客),1666,-484,浙商期货(代客),2316,-111,中金财富(代客),2460,-136
20260522,IF2606,18,浙商期货(代客),1486,-2002,国信期货(代客),2163,-675,永安期货(代客),2260,-399
20260522,IF2606,19,申银万国(代客),1474,-385,招商期货(代客),1766,-77,平安期货(代客),1642,-383
20260522,IF2606,20,招商期货(代客),1421,-865,中金财富(代客),1544,-13,中泰期货(代客),1606,-567
20260522,IF2609,1,中信期货(代客),8157,-2476,国泰君安(代客),17272,-734,华泰期货(代客),13774,73
20260522,IF2609,2,国泰君安(代客),7655,-2300,中信期货(代客),7345,-888,中信期货(代客),11612,-833
20260522,IF2609,3,东证期货(代客),3615,-56,广发期货(代客),4264,136,国泰君安(代客),6978,-1105
20260522,IF2609,4,海通期货(代客),3468,-1009,浙商期货(代客),2997,8,摩根大通(代客),4876,0
20260522,IF2609,5,华闻期货(代客),1577,-609,银河期货(代客),2891,-110,瑞银期货(代客),3882,2
20260522,IF2609,6,国信期货(代客),1435,-583,东证期货(代客),2359,-399,方正中期(代客),3125,-19
20260522,IF2609,7,广发期货(代客),1182,-309,中金期货(代客),2180,-54,东证期货(代客),2788,38
20260522,IF2609,8,中泰期货(代客),975,-628,宝城期货(代客),2125,23,银河期货(代客),2737,54
20260522,IF2609,9,光大期货(代客),829,-177,招商期货(代客),2008,18,广发期货(代客),2717,-258
20260522,IF2609,10,银河期货(代客),818,-766,大越期货(代客),2001,5,海通期货(代客),2512,-807
20260522,IF2609,11,五矿期货(代客),756,-611,国投期货(代客),1885,-10,申银万国(代客),2286,58
20260522,IF2609,12,华泰期货(代客),646,-1057,海通期货(代客),1843,-451,国投期货(代客),2241,-37
20260522,IF2609,13,兴证期货(代客),642,178,光大期货(代客),1614,67,国信期货(代客),1965,78
20260522,IF2609,14,招商期货(代客),600,-228,华泰期货(代客),1534,-19,招商期货(代客),1745,-90
20260522,IF2609,15,瑞达期货(代客),517,-151,五矿期货(代客),1506,-107,中金财富(代客),1510,-7
20260522,IF2609,16,浙商期货(代客),502,-1079,国信期货(代客),1307,85,光大期货(代客),1236,162
20260522,IF2609,17,申银万国(代客),451,-273,申银万国(代客),1202,-67,宏源期货(代客),1076,-1
20260522,IF2609,18,宝城期货(代客),435,39,永安期货(代客),1130,-67,中泰期货(代客),967,-44
20260522,IF2609,19,中信建投(代客),400,-486,兴证期货(代客),1111,-4,永安期货(代客),873,35
20260522,IF2609,20,南华期货(代客),396,-192,一德期货(代客),1023,-196,华闻期货(代客),732,-246
20260522,IF2612,1,中信期货(代客),2636,-1092,国泰君安(代客),2965,18,海通期货(代客),4548,-453
20260522,IF2612,2,东证期货(代客),2267,38,中信期货(代客),2703,-166,中信期货(代客),4004,-132
20260522,IF2612,3,国泰君安(代客),2011,-579,浙商期货(代客),2364,13,国泰君安(代客),2831,-17
20260522,IF2612,4,海通期货(代客),1941,-74,瑞银期货(代客),1722,82,摩根大通(代客),2205,0
20260522,IF2612,5,华闻期货(代客),877,-484,海通期货(代客),1380,-214,东证期货(代客),1986,-510
20260522,IF2612,6,五矿期货(代客),610,6,大越期货(代客),1233,14,招商期货(代客),1320,137
20260522,IF2612,7,光大期货(代客),484,62,华泰期货(代客),1010,10,广发期货(代客),621,4
20260522,IF2612,8,国信期货(代客),404,-250,申银万国(代客),937,64,银河期货(代客),583,50
20260522,IF2612,9,中银期货(代客),400,297,中银期货(代客),841,-389,中金财富(代客),509,50
20260522,IF2612,10,招商期货(代客),388,-311,广发期货(代客),731,5,国投期货(代客),486,21
20260522,IF2612,11,广发期货(代客),251,-75,东证期货(代客),722,-165,华闻期货(代客),479,-181
20260522,IF2612,12,金瑞期货(代客),237,19,中金财富(代客),625,2,中信建投(代客),470,10
20260522,IF2612,13,华泰期货(代客),180,-57,长江期货(代客),547,-2,华泰期货(代客),427,-4
20260522,IF2612,14,宝城期货(代客),174,29,银河期货(代客),463,6,兴业期货(代客),407,14
20260522,IF2612,15,银河期货(代客),170,-90,光大期货(代客),420,70,海证期货(代客),393,1
20260522,IF2612,16,中泰期货(代客),166,-111,建信期货(代客),335,9,光大期货(代客),359,56
20260522,IF2612,17,申银万国(代客),145,-85,永安期货(代客),313,-8,申银万国(代客),257,37
20260522,IF2612,18,兴证期货(代客),134,-65,招商期货(代客),312,-13,国信期货(代客),255,17
20260522,IF2612,19,格林大华(代客),126,-64,国信期货(代客),304,69,格林大华(代客),216,13
20260522,IF2612,20,瑞达期货(代客),122,-28,方正中期(代客),298,2,中银期货(代客),165,3
