交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260518,IF2606,1,中信期货(代客),26182,-7783,国泰君安(代客),24548,-1992,中信期货(代客),25789,-1829
20260518,IF2606,2,国泰君安(代客),20949,-8433,中信期货(代客),18009,-1647,国泰君安(代客),19104,-2009
20260518,IF2606,3,东证期货(代客),9180,-1950,东证期货(代客),8311,-495,华泰期货(代客),8973,-314
20260518,IF2606,4,海通期货(代客),7832,-4682,海通期货(代客),7049,-1433,东证期货(代客),7480,-135
20260518,IF2606,5,国信期货(代客),4146,-2023,广发期货(代客),6243,-486,海通期货(代客),7268,-1629
20260518,IF2606,6,中泰期货(代客),3709,-2094,华泰期货(代客),5313,-323,银河期货(代客),6006,-33
20260518,IF2606,7,光大期货(代客),3491,-286,光大期货(代客),4470,14,中金期货(代客),5471,-6
20260518,IF2606,8,华闻期货(代客),3380,-489,银河期货(代客),4202,-103,国投期货(代客),5154,-865
20260518,IF2606,9,中信建投(代客),3181,-1477,永安期货(代客),3475,-482,招商期货(代客),4005,-239
20260518,IF2606,10,银河期货(代客),3066,-1875,大越期货(代客),3361,37,国信期货(代客),3910,-680
20260518,IF2606,11,广发期货(代客),2996,-2002,中信建投(代客),3335,-455,瑞银期货(代客),3750,29
20260518,IF2606,12,国投期货(代客),2949,-980,兴证期货(代客),2841,-65,申银万国(代客),3553,22
20260518,IF2606,13,华泰期货(代客),2307,-2337,南华期货(代客),2542,-190,光大期货(代客),3413,-139
20260518,IF2606,14,永安期货(代客),2070,-1249,国信期货(代客),2516,-434,中信建投(代客),3200,-330
20260518,IF2606,15,浙商期货(代客),1769,-1516,中泰期货(代客),2464,-366,中银期货(代客),3054,268
20260518,IF2606,16,五矿期货(代客),1580,-115,国投期货(代客),2318,-1278,广发期货(代客),2997,-226
20260518,IF2606,17,招商期货(代客),1526,-764,浙商期货(代客),2190,-178,中金财富(代客),2712,-166
20260518,IF2606,18,瑞达期货(代客),1489,83,申银万国(代客),2143,-115,永安期货(代客),2282,-414
20260518,IF2606,19,申银万国(代客),1477,-341,招商期货(代客),1893,-125,平安期货(代客),2176,2
20260518,IF2606,20,东海期货(代客),1462,-1103,中金财富(代客),1709,-117,中泰期货(代客),1895,-349
20260518,IF2609,1,中信期货(代客),7566,-3816,国泰君安(代客),16024,-228,华泰期货(代客),13268,22
20260518,IF2609,2,国泰君安(代客),6532,-2013,中信期货(代客),7477,-602,中信期货(代客),10750,-832
20260518,IF2609,3,海通期货(代客),3103,-1787,广发期货(代客),4166,-3,国泰君安(代客),7868,-362
20260518,IF2609,4,东证期货(代客),2940,-562,中金期货(代客),3156,0,摩根大通(代客),4940,0
20260518,IF2609,5,华闻期货(代客),1186,-1280,浙商期货(代客),2973,-33,瑞银期货(代客),3900,0
20260518,IF2609,6,国信期货(代客),1168,-1665,银河期货(代客),2771,-149,方正中期(代客),3136,2
20260518,IF2609,7,中泰期货(代客),1029,-570,东证期货(代客),2430,-38,广发期货(代客),3050,-60
20260518,IF2609,8,广发期货(代客),759,-361,宝城期货(代客),2118,42,东证期货(代客),2609,-2
20260518,IF2609,9,银河期货(代客),696,-436,大越期货(代客),1985,-60,海通期货(代客),2552,-172
20260518,IF2609,10,光大期货(代客),611,-739,国投期货(代客),1845,-7,国投期货(代客),2367,81
20260518,IF2609,11,招商期货(代客),549,-644,海通期货(代客),1797,-277,申银万国(代客),2073,-67
20260518,IF2609,12,浙商期货(代客),541,-644,光大期货(代客),1573,-248,银河期货(代客),1967,-59
20260518,IF2609,13,五矿期货(代客),507,-776,五矿期货(代客),1490,-96,招商期货(代客),1833,0
20260518,IF2609,14,华泰期货(代客),462,-495,华泰期货(代客),1473,12,国信期货(代客),1762,-301
20260518,IF2609,15,瑞达期货(代客),446,-191,国信期货(代客),1284,-211,中金财富(代客),1308,94
20260518,IF2609,16,融达期货(代客),430,-68,招商期货(代客),1257,11,光大期货(代客),1305,-125
20260518,IF2609,17,中信建投(代客),355,-385,申银万国(代客),1213,-4,宏源期货(代客),1099,16
20260518,IF2609,18,国投期货(代客),350,-90,永安期货(代客),1107,34,永安期货(代客),858,1
20260518,IF2609,19,兴证期货(代客),331,-225,一德期货(代客),1101,-185,华闻期货(代客),743,-327
20260518,IF2609,20,南华期货(代客),330,-230,兴证期货(代客),1072,-8,兴业期货(代客),693,29
20260518,IF2612,1,中信期货(代客),2948,-742,中信期货(代客),2913,97,海通期货(代客),4718,-258
20260518,IF2612,2,东证期货(代客),1944,-376,国泰君安(代客),2439,228,中信期货(代客),3777,-55
20260518,IF2612,3,国泰君安(代客),1806,-386,浙商期货(代客),2334,5,国泰君安(代客),2178,152
20260518,IF2612,4,海通期货(代客),1324,-1333,海通期货(代客),1257,-246,摩根大通(代客),2176,544
20260518,IF2612,5,华闻期货(代客),659,-235,大越期货(代客),1210,31,东证期货(代客),2070,-290
20260518,IF2612,6,摩根大通(代客),544,68,中银期货(代客),1181,-17,招商期货(代客),797,58
20260518,IF2612,7,五矿期货(代客),422,79,瑞银期货(代客),890,0,广发期货(代客),577,13
20260518,IF2612,8,国信期货(代客),407,-225,华泰期货(代客),826,-22,华闻期货(代客),551,-139
20260518,IF2612,9,光大期货(代客),352,91,广发期货(代客),699,12,银河期货(代客),506,0
20260518,IF2612,10,招商期货(代客),230,-115,申银万国(代客),623,11,中信建投(代客),448,8
20260518,IF2612,11,华泰期货(代客),198,2,中金财富(代客),599,1,中金财富(代客),393,10
20260518,IF2612,12,中泰期货(代客),165,-175,东证期货(代客),526,-284,华泰期货(代客),388,2
20260518,IF2612,13,银河期货(代客),149,-220,长江期货(代客),515,4,国信期货(代客),386,-26
20260518,IF2612,14,浙商期货(代客),137,-506,银河期货(代客),373,23,国投期货(代客),386,-13
20260518,IF2612,15,兴证期货(代客),134,-38,光大期货(代客),340,85,海证期货(代客),364,5
20260518,IF2612,16,大越期货(代客),122,-161,国信期货(代客),338,-17,中泰期货(代客),330,-20
20260518,IF2612,17,广发期货(代客),119,-106,建信期货(代客),321,1,光大期货(代客),324,59
20260518,IF2612,18,中信建投(代客),96,-99,中金期货(代客),311,0,申银万国(代客),209,4
20260518,IF2612,19,宝城期货(代客),85,7,永安期货(代客),304,22,兴业期货(代客),207,10
20260518,IF2612,20,瑞达期货(代客),83,-11,华闻期货(代客),298,-80,格林大华(代客),195,-19
