交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20250909,IM2509,1,中信期货(代客),50373,-3340,中信期货(代客),21511,-354,中信期货(代客),30782,-881
20250909,IM2509,2,国泰君安(代客),44031,-285,国泰君安(代客),21367,303,国泰君安(代客),23993,124
20250909,IM2509,3,海通期货(代客),16590,-1318,东证期货(代客),6827,-1239,华泰期货(代客),7748,-344
20250909,IM2509,4,东证期货(代客),14260,-969,海通期货(代客),6694,1223,海通期货(代客),7562,1297
20250909,IM2509,5,中泰期货(代客),12788,325,华泰期货(代客),5175,425,东证期货(代客),7028,-79
20250909,IM2509,6,华泰期货(代客),8461,822,银河期货(代客),4934,-324,国投期货(代客),5014,11
20250909,IM2509,7,国信期货(代客),8221,-353,中泰期货(代客),4887,460,中泰期货(代客),4453,194
20250909,IM2509,8,华闻期货(代客),7436,-244,光大期货(代客),3792,157,银河期货(代客),4198,-281
20250909,IM2509,9,广发期货(代客),6874,909,广发期货(代客),3517,128,广发期货(代客),3923,108
20250909,IM2509,10,银河期货(代客),6869,-80,国投期货(代客),3028,-229,华闻期货(代客),3558,-91
20250909,IM2509,11,申银万国(代客),5214,-700,国信期货(代客),2922,-156,国信期货(代客),3507,-153
20250909,IM2509,12,中信建投(代客),5006,-691,中信建投(代客),2832,-34,国富期货(代客),2958,1
20250909,IM2509,13,瑞达期货(代客),4505,71,华闻期货(代客),2696,-249,申银万国(代客),2571,-643
20250909,IM2509,14,光大期货(代客),4168,-657,浙商期货(代客),2606,69,永安期货(代客),2451,-10
20250909,IM2509,15,东兴期货(代客),4053,-498,永安期货(代客),2549,-9,招商期货(代客),2249,-125
20250909,IM2509,16,东海期货(代客),3878,683,招商期货(代客),2494,75,中信建投(代客),2040,-516
20250909,IM2509,17,国投期货(代客),3834,-212,东海期货(代客),2433,310,东海期货(代客),1711,366
20250909,IM2509,18,南华期货(代客),3663,80,东吴期货(代客),2345,-277,南华期货(代客),1648,201
20250909,IM2509,19,浙商期货(代客),3231,452,申银万国(代客),2290,-611,兴证期货(代客),1556,-102
20250909,IM2509,20,兴证期货(代客),3230,-90,摩根大通(代客),1795,41,光大期货(代客),1553,-377
20250909,IM2510,1,中信期货(代客),4303,-297,中信期货(代客),3748,184,中信期货(代客),8055,485
20250909,IM2510,2,国泰君安(代客),3542,196,一德期货(代客),3185,970,国泰君安(代客),5651,750
20250909,IM2510,3,海通期货(代客),3413,428,国泰君安(代客),2977,392,华泰期货(代客),1705,616
20250909,IM2510,4,东证期货(代客),1963,-341,海通期货(代客),2180,230,海通期货(代客),1325,-3
20250909,IM2510,5,华泰期货(代客),1093,554,申银万国(代客),1504,559,国投期货(代客),983,12
20250909,IM2510,6,一德期货(代客),979,-37,宝城期货(代客),1333,31,广发期货(代客),892,266
20250909,IM2510,7,广发期货(代客),729,-150,华泰期货(代客),1162,197,东证期货(代客),879,169
20250909,IM2510,8,华闻期货(代客),708,7,广发期货(代客),1033,159,招商期货(代客),787,67
20250909,IM2510,9,申银万国(代客),704,56,摩根大通(代客),901,0,中泰期货(代客),384,62
20250909,IM2510,10,五矿期货(代客),684,46,东证期货(代客),883,126,银河期货(代客),365,18
20250909,IM2510,11,国信期货(代客),646,-27,国联期货(代客),881,-26,国信期货(代客),350,-129
20250909,IM2510,12,光大期货(代客),637,-48,国投期货(代客),847,121,永安期货(代客),325,15
20250909,IM2510,13,中泰期货(代客),530,-12,光大期货(代客),683,-87,瑞银期货(代客),316,-153
20250909,IM2510,14,招商期货(代客),348,-130,中信建投(代客),637,7,华闻期货(代客),308,55
20250909,IM2510,15,瑞达期货(代客),336,-120,大越期货(代客),514,4,海证期货(代客),302,74
20250909,IM2510,16,银河期货(代客),330,114,方正中期(代客),459,11,中银期货(代客),300,43
20250909,IM2510,17,南华期货(代客),283,-185,招商期货(代客),390,29,兴证期货(代客),296,25
20250909,IM2510,18,中信建投(代客),275,40,国信期货(代客),282,13,瑞达期货(代客),291,17
20250909,IM2510,19,中金财富(代客),252,158,华闻期货(代客),281,101,南华期货(代客),288,44
20250909,IM2510,20,长江期货(代客),241,174,中泰期货(代客),269,42,五矿期货(代客),263,-36
20250909,IM2512,1,中信期货(代客),24579,-224,中信期货(代客),17655,1828,中信期货(代客),24867,1521
20250909,IM2512,2,国泰君安(代客),21174,3125,国泰君安(代客),16839,1292,国泰君安(代客),15323,1146
20250909,IM2512,3,海通期货(代客),9876,695,一德期货(代客),6821,23,华泰期货(代客),8711,202
20250909,IM2512,4,东证期货(代客),5507,-369,海通期货(代客),6318,774,摩根大通(代客),6272,0
20250909,IM2512,5,华闻期货(代客),4224,-234,东证期货(代客),4448,-50,国信期货(代客),5864,42
20250909,IM2512,6,中泰期货(代客),4155,208,国投期货(代客),3596,321,海通期货(代客),5672,1008
20250909,IM2512,7,国信期货(代客),3922,116,宝城期货(代客),3583,-489,国投期货(代客),5067,54
20250909,IM2512,8,华泰期货(代客),3917,1017,银河期货(代客),3468,79,广发期货(代客),4943,147
