block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,bar_seq5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,boll_up,boll_lo,vol_ratio,vol5_vs20,turnover,hi20,lo20,sup20,res20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,shrink_pullback,stale,ex_gaps_recent,error
关注个股,SZ,300347,泰格医药,20260923,58.5,1.14,3.0,7.0,15.0,强多头,57.95,56.54,53.91,51.56,8.5,13.5,2.6,1.819,1.319,1.0,,"1.045,1.071,1.218,1.080,1.000",True,68.6,61.9,83.2,82.2,85.2,86.0,60.23,47.59,0.69,0.95,1.76,59.88,48.51,48.51,59.88,59.88,42.2,-2.3,92.0,0,False,False,False,20190701:-32.6%;20150520:-51.4%;20140507:-48.3%,
关注个股,SZ,002821,凯莱英,20260923,188.01,0.19,3.0,8.6,9.4,强多头,187.62,180.99,173.89,168.49,8.1,11.6,2.6,5.774,4.038,3.471,,"3.206,3.470,4.144,3.868,3.471",True,67.1,60.9,81.5,80.1,84.3,87.0,193.22,154.55,0.68,1.03,1.97,194.32,155.75,155.75,194.32,200.0,142.43,-6.0,79.0,0,False,False,False,20220721:-29.0%;20170614:-49.9%,
关注个股,SZ,301047,义翘神州,20260923,150.0,10.12,47.2,47.3,39.9,强多头,125.16,112.05,104.93,93.81,43.0,59.9,2.2,7.909,3.369,9.081,金叉(4日前),"-0.215,1.363,2.677,5.742,9.081",True,91.1,75.9,85.4,75.6,105.0,128.0,133.93,75.93,1.83,1.61,12.36,154.0,91.08,91.08,154.0,154.0,66.62,-2.6,95.0,0,False,False,False,20220330:-49.9%,
关注个股,SH,688621,阳光诺和,20260923,75.26,0.95,2.1,9.1,14.0,强多头,74.09,72.59,70.64,63.18,6.5,19.1,3.1,2.72,2.528,0.384,,"0.164,0.193,0.371,0.363,0.384",True,72.5,67.3,75.8,77.1,73.4,88.0,76.73,64.56,0.66,0.94,1.89,78.78,62.51,62.51,78.78,78.78,47.73,-4.5,89.0,0,True,False,False,20230512:-30.2%,
关注个股,SH,688222,成都先导,20260923,46.02,3.65,25.7,42.0,36.1,强多头,42.71,37.65,35.02,33.57,31.4,37.1,5.3,2.618,1.088,3.06,,"0.806,1.415,2.424,2.786,3.060",True,85.1,74.6,87.1,79.2,103.0,106.0,44.77,25.28,1.62,1.71,8.5,47.58,29.6,29.6,47.58,47.58,25.85,-3.3,93.0,0,False,False,False,,
关注个股,SH,603259,药明康德,20260923,167.95,0.06,6.5,8.4,5.5,强多头,164.85,160.32,158.03,145.17,6.3,15.7,0.6,3.983,3.288,1.391,金叉(3日前),"-1.260,-0.882,0.363,1.056,1.391",True,77.3,65.7,82.5,76.1,95.3,102.0,167.54,148.53,0.8,1.13,1.09,171.2,149.7,149.7,171.2,173.6,114.52,-3.3,90.0,0,False,False,False,20210608:-16.8%;20200604:-28.1%;20190702:-29.1%,
关注个股,SH,688073,毕得医药,20260923,80.76,6.12,25.9,26.8,29.1,强多头,72.3,66.08,63.64,60.42,26.9,33.7,1.7,2.848,0.916,3.863,金叉(4日前),"-0.079,0.757,1.703,2.759,3.863",True,87.4,70.9,89.5,78.0,112.7,121.0,75.78,51.5,1.37,1.29,7.49,80.8,54.54,54.54,80.8,88.88,44.46,-9.1,82.0,0,False,False,False,20230525:-29.4%,
关注个股,SH,603127,昭衍新药,20260923,47.77,3.58,9.0,9.2,1.8,震荡,46.1,44.34,44.65,46.02,7.0,3.8,-1.4,-0.193,-0.697,1.008,金叉(4日前),"-0.313,0.131,0.546,0.714,1.008",False,73.2,57.3,74.4,64.5,94.2,90.0,48.52,40.79,1.64,1.35,7.96,51.51,40.4,40.4,51.51,55.68,37.28,-14.2,57.0,0,False,False,False,20230725:-29.0%;20220808:-29.0%;20210805:-28.6%,
关注个股,SZ,300725,药石科技,20260923,54.35,1.59,19.3,23.4,13.8,强多头,50.34,46.94,45.56,43.64,19.3,24.6,0.1,1.553,0.489,2.129,金叉(4日前),"-0.092,0.282,0.898,1.643,2.129",True,87.1,70.1,87.5,78.3,106.0,114.0,52.39,38.74,1.44,1.42,14.16,55.12,40.4,40.4,55.12,57.35,34.8,-5.2,87.0,0,False,False,False,20210426:-23.1%;20190508:-24.8%;20180518:-33.4%,
关注个股,SZ,300363,博腾股份,20260923,25.25,5.03,14.5,15.7,22.7,强多头,23.62,22.42,21.14,19.42,19.5,30.0,2.4,1.148,0.761,0.774,,"0.218,0.325,0.515,0.606,0.774",True,86.8,71.2,85.4,81.2,93.8,108.0,24.66,17.61,1.3,1.05,5.9,25.98,18.6,18.6,25.98,25.98,14.83,-2.8,93.0,0,False,False,False,20150929:-36.2%;20150326:-57.5%,
关注个股,SZ,301230,泓博医药,20260923,40.07,1.19,30.0,28.1,22.2,强多头,37.1,33.31,32.05,31.04,25.0,29.1,1.8,1.533,0.417,2.232,金叉(4日前),"-0.185,0.486,1.347,1.917,2.232",True,86.6,70.7,83.4,70.6,109.0,108.0,38.93,25.17,1.54,1.83,16.39,41.14,27.64,27.64,41.14,41.76,22.55,-4.0,91.0,0,False,False,False,20260716:-24.1%;20240621:-25.7%;20230621:-30.3%,
关注个股,SH,688131,皓元医药,20260923,110.37,9.84,19.3,17.7,13.3,强多头,101.19,95.76,94.14,88.84,17.2,24.2,1.1,3.009,1.53,2.959,金叉(4日前),"-0.701,0.259,1.265,1.595,2.959",True,83.3,70.3,85.7,73.7,109.7,127.0,104.64,83.65,2.52,1.45,4.96,111.0,85.2,85.2,111.0,111.0,67.0,-0.6,99.0,0,False,False,False,20240627:-27.5%;20230530:-28.1%;20220613:-30.4%,
关注个股,SH,688617,惠泰医疗,20260923,245.56,0.88,1.1,2.7,-1.0,震荡,243.24,243.53,244.56,225.88,0.4,8.7,-1.5,2.995,4.167,-2.344,,"-3.075,-3.423,-3.111,-2.849,-2.344",True,57.3,55.6,55.9,50.5,66.7,57.0,251.58,237.54,0.77,0.9,0.78,255.1,233.08,233.08,255.1,271.0,182.0,-9.4,71.0,0,False,False,False,20250619:-31.3%;20240726:-31.1%,
关注个股,SH,688161,威高骨科,20260923,21.93,-0.23,5.2,-1.7,-0.7,震荡,21.62,21.57,21.84,21.84,0.4,0.4,-0.6,-0.107,-0.112,0.009,金叉(1日前),"-0.310,-0.259,-0.146,-0.050,0.009",False,58.4,51.3,46.9,35.5,69.6,55.0,22.85,20.82,0.55,0.84,0.18,23.25,20.6,20.6,23.25,23.32,19.87,-6.0,60.0,0,False,False,False,,
关注个股,SZ,300760,迈瑞医疗,20260923,155.46,-0.78,-1.6,-5.9,-3.5,空头,156.77,159.07,163.07,154.55,-4.7,0.6,-0.3,-0.314,1.214,-3.056,,"-3.225,-3.361,-3.162,-3.083,-3.056",False,23.7,40.9,6.5,11.3,-3.0,11.0,172.82,153.32,0.6,0.69,0.38,171.99,155.3,155.3,171.99,171.99,136.02,-9.6,54.0,0,False,False,False,,
关注个股,SH,688578,艾力斯,20260923,112.42,9.35,13.0,7.8,0.3,震荡,103.23,101.78,105.89,114.81,6.2,-2.1,-2.7,-2.616,-3.321,1.409,金叉(1日前),"-2.196,-1.651,-0.947,-0.301,1.409",False,78.1,58.1,58.1,36.1,102.2,80.0,116.6,95.17,2.57,1.41,2.97,115.16,97.85,97.85,115.16,138.3,97.85,-18.7,36.0,0,False,False,False,,
