signal,quantile,sample_size,signal_min,signal_max,next_up_probability,avg_next_return_pct,median_next_return_pct
IF_top20_long_oi_chg,Q1_low,74,-22412,-4695,0.5945945945945946,0.30517890256219143,0.5546067892526763
IF_top20_long_oi_chg,Q2,73,-4630,-674,0.5753424657534246,0.5920238795600576,0.35623571247143104
IF_top20_long_oi_chg,Q3,73,-585,2888,0.4794520547945205,0.09362686301080449,-0.20279542730058386
IF_top20_long_oi_chg,Q4_high,74,2921,15378,0.5540540540540541,0.18254687739796222,0.20659735946905178
IF_top20_short_oi_chg,Q1_low,74,-22426,-5022,0.5945945945945946,0.3779892675947501,0.6177593568849282
IF_top20_short_oi_chg,Q2,73,-4958,-649,0.5616438356164384,0.4873228242314113,0.35623571247143104
IF_top20_short_oi_chg,Q3,73,-515,2786,0.5342465753424658,0.13223127852156866,0.1401520062728867
IF_top20_short_oi_chg,Q4_high,74,2835,18202,0.5135135135135135,0.17493995434790888,0.07752678880800223
IF_top20_net_oi_chg,Q1_low,74,-3889,-496,0.5405405405405406,0.2903714247394611,0.15750922908517317
IF_top20_net_oi_chg,Q2,73,-494,241,0.5753424657534246,0.3144519346733557,0.3850957017548229
IF_top20_net_oi_chg,Q3,73,242,978,0.6164383561643836,0.43847531334327466,0.5448676501308203
IF_top20_net_oi_chg,Q4_high,74,1001,4688,0.47297297297297297,0.13098699174040757,-0.14325867857430397
IH_top20_long_oi_chg,Q1_low,74,-8928,-2274,0.6081081081081081,0.4252523606957895,0.49485633494062986
IH_top20_long_oi_chg,Q2,73,-2257,-291,0.5205479452054794,0.055449407808583956,0.09283108664670525
IH_top20_long_oi_chg,Q3,73,-258,1633,0.5616438356164384,0.711825810228023,0.3394986425245605
IH_top20_long_oi_chg,Q4_high,74,1744,9844,0.5135135135135135,-0.018048022749140996,0.07752678880800223
IH_top20_short_oi_chg,Q1_low,74,-9195,-2335,0.6216216216216216,0.4573462243474701,0.49485633494062986
IH_top20_short_oi_chg,Q2,73,-2281,-205,0.5205479452054794,0.11986164870587543,0.22474790242918985
IH_top20_short_oi_chg,Q3,73,-180,1607,0.5616438356164384,0.5220685775561897,0.34156850303446173
IH_top20_short_oi_chg,Q4_high,74,1614,10525,0.5,0.07350925413352367,-0.0017947861594813652
IH_top20_net_oi_chg,Q1_low,74,-1730,-323,0.5540540540540541,0.23103241398770305,0.28245913699184166
IH_top20_net_oi_chg,Q2,73,-315,48,0.5342465753424658,0.07511091923897886,0.21429329866888835
IH_top20_net_oi_chg,Q3,73,53,473,0.4657534246575342,0.12156409203887716,-0.13026891225458304
IH_top20_net_oi_chg,Q4_high,74,499,2331,0.6486486486486487,0.7390613171128484,0.7963325349708672
IC_top20_long_oi_chg,Q1_low,74,-15420,-4057,0.581081081081081,0.392705868959417,0.3832927122004448
IC_top20_long_oi_chg,Q2,73,-4018,-457,0.5616438356164384,0.23135302524470622,0.29301685003748634
IC_top20_long_oi_chg,Q3,73,-456,3151,0.5205479452054794,0.3908983499783029,0.06678093626872883
IC_top20_long_oi_chg,Q4_high,74,3162,16234,0.5405405405405406,0.15756253014118618,0.30452369366464893
IC_top20_short_oi_chg,Q1_low,74,-16318,-4329,0.5540540540540541,0.25134328553058416,0.230410524157032
IC_top20_short_oi_chg,Q2,73,-4328,-923,0.6027397260273972,0.3621969789576247,0.5011479173499422
IC_top20_short_oi_chg,Q3,73,-870,3046,0.5068493150684932,0.47890757165321607,0.004632474884247451
IC_top20_short_oi_chg,Q4_high,74,3063,15177,0.5405405405405406,0.08302941352526617,0.2602493937228556
IC_top20_net_oi_chg,Q1_low,74,-3612,-543,0.5540540540540541,0.21695661827731297,0.2870539514036152
IC_top20_net_oi_chg,Q2,73,-540,184,0.589041095890411,0.5306698157385602,0.5047570180698902
IC_top20_net_oi_chg,Q3,73,209,856,0.5616438356164384,0.2573022851416468,0.24859736349951422
IC_top20_net_oi_chg,Q4_high,74,888,4701,0.5,0.1698305244317301,0.023739244331999476
IM_top20_long_oi_chg,Q1_low,74,-26906,-5868,0.5675675675675675,0.267418847137991,0.24487179791417013
IM_top20_long_oi_chg,Q2,73,-5810,-479,0.5205479452054794,0.29220350144867346,0.271901423946197
IM_top20_long_oi_chg,Q3,73,-472,4505,0.5616438356164384,0.35892968824415483,0.31332001723261005
IM_top20_long_oi_chg,Q4_high,74,4541,33489,0.5540540540540541,0.25435803228292553,0.30452369366464893
IM_top20_short_oi_chg,Q1_low,74,-27858,-6646,0.581081081081081,0.4198029762303159,0.32014713825430086
IM_top20_short_oi_chg,Q2,73,-6594,-899,0.547945205479452,0.3499845952430197,0.3823693681486606
IM_top20_short_oi_chg,Q3,73,-886,4165,0.5068493150684932,0.08690159602646468,0.004632474884247451
IM_top20_short_oi_chg,Q4_high,74,4248,33438,0.5675675675675675,0.3133256719055212,0.32420470575136306
IM_top20_net_oi_chg,Q1_low,74,-4610,-607,0.5675675675675675,0.20802126138180205,0.3420468716405889
IM_top20_net_oi_chg,Q2,73,-591,391,0.5616438356164384,0.31146168885194814,0.2560782202563727
IM_top20_net_oi_chg,Q3,73,392,1415,0.4931506849315068,0.3293165618063858,-0.008222047203210181
