product,net_direction,net_direction_cn,sample_size,qty_min,qty_median,qty_max,pearson_corr_qty_next_return,spearman_corr_qty_next_return,pearson_corr_qty_abs_next_return,ols_slope_return_pct_per_1000_contracts,avg_next_return_pct,next_up_probability
IC,net_buy,净买入,171,2,768.0,4701,-0.02902890677096461,-0.03124178755586712,0.04301980070280043,-0.058397960533971824,0.23055727651477098,0.5380116959064327
IC,net_sell,净卖出,123,12,685.0,3612,-0.13414004874758131,-0.17743339718286444,-0.13310525553286204,-0.336338617220517,0.37982859870486557,0.5691056910569106
IF,net_buy,净买入,165,1,885.0,4688,-0.0016719234884389205,-0.021075043611443814,0.08145516464898342,-0.0037498187247947943,0.2282968963083337,0.5333333333333333
IF,net_sell,净卖出,129,1,662.0,3889,-0.06879607406989215,-0.04934893231091695,-0.007794072419806101,-0.15195343325765612,0.3757769304949553,0.5736434108527132
IH,net_buy,净买入,158,10,441.5,2331,0.141354741957573,0.1428625759187233,0.21949179849040326,0.647154252169056,0.42315545166671653,0.5569620253164557
IH,net_sell,净卖出,136,6,342.0,1730,0.14761647390910293,0.088531820673312,0.15203908274019673,0.6801246325673979,0.14180625412781686,0.5441176470588235
IM,net_buy,净买入,175,34,1162.0,5670,0.06438771911367142,0.1067344530554692,0.2270648655119891,0.106490845680487,0.25278304798052625,0.5257142857142857
IM,net_sell,净卖出,119,17,795.0,4610,-0.10403375243047658,-0.13311565188011343,-0.03459653058018109,-0.19155736564812031,0.3521611641019513,0.5882352941176471
