板块,代码,名称,市场,收盘,当日涨跌,近5日,近1月,近3月,日趋势,周趋势,月趋势,日MA排列,周MA排列,月MA排列,MA5,MA10,MA20,MA60,BIAS20,RSI14,KDJ_K,KDJ_D,KDJ_J,日MACD,周MACD,月MACD,日DIF,日DEA,VR5,量比5_20,距52周高,五二周位置,ATRpct,背离,复权修正,是否ETF,今日除息
AI硬件,300394,天孚通信,SZ,278.7630195804236,-1.9,8.68,11.93,-5.38,↑,→,↑,多头排列,均线交织,多头排列,273.1011,266.7634,261.688,245.568,6.52,65.9,72.06,66.6,82.98,金叉,死叉,金叉,7.0647,5.343,0.86,1.02,-25.41,65.2,5.85,,是,,
AI硬件,300395,菲利华,SZ,94.4,1.09,-0.63,12.39,-27.94,→,→,→,均线交织,均线交织,均线交织,95.744,96.398,93.7175,92.2753,0.73,50.38,35.1,47.94,9.42,刚死叉,死叉,刚死叉,1.4029,1.4471,0.8,0.91,-38.53,30.8,5.34,,,,
AI硬件,300408,三环集团,SZ,129.84,-0.86,3.19,19.18,-22.11,→,→,↑,均线交织,均线交织,多头(价回MA5下),128.98,124.573,117.728,120.274,10.29,79.92,79.42,80.49,77.28,金叉,死叉,金叉,3.3427,1.3492,1.29,1.01,-28.01,64.0,5.11,,,,
AI硬件,300476,胜宏科技,SZ,248.0,9.23,10.22,1.22,-21.36,→,↓,→,均线交织,空头(价上突),均线交织,230.874,230.083,233.8335,250.3152,6.06,59.07,56.0,42.61,82.76,金叉,死叉,死叉,-5.0557,-6.7901,1.83,1.18,-38.4,31.2,4.33,,,,
AI硬件,300489,光智科技,SZ,238.81,6.32,17.28,18.14,-22.88,→,↑,↑,均线交织,多头排列,多头排列,219.21,215.826,221.863,220.9277,7.64,52.46,56.86,39.44,91.71,刚金叉,死叉,金叉,0.9213,0.1741,1.19,1.12,-27.59,68.7,7.19,,,,
AI硬件,300499,高澜股份,SZ,37.04,-1.8,0.93,27.94,-0.19,↑,→,→,多头(价回MA5下),均线交织,均线交织,37.812,36.797,34.554,31.9493,7.19,63.96,73.54,77.61,65.42,金叉,金叉,刚金叉,1.9891,1.7239,0.88,0.91,-22.9,55.7,7.4,,,,
AI硬件,300502,新易盛,SZ,456.73,2.64,13.64,10.86,-18.0,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),429.354,421.377,410.043,452.2732,11.39,67.44,73.83,64.67,92.17,金叉,死叉,金叉,0.8781,-6.5834,1.01,1.0,-26.2,60.8,4.86,,是,,
AI硬件,300548,长芯博创,SZ,243.99,2.17,19.55,22.65,-3.63,↑,→,↑,多头排列,均线交织,多头排列,230.87,220.757,212.7095,196.9357,14.71,70.6,79.84,70.09,99.33,金叉,刚金叉,金叉,10.5366,7.3342,0.9,1.06,-21.29,69.9,5.8,,,,
AI硬件,300570,太辰光,SZ,223.7,-2.46,12.81,10.25,-0.86,↑,→,↑,多头排列,均线交织,多头排列,213.962,207.534,202.3035,182.1122,10.58,65.62,70.29,68.59,73.69,金叉,金叉,金叉,10.2838,8.5136,0.91,1.2,-21.74,68.9,6.14,,,,
AI硬件,300620,光库科技,SZ,294.48,-0.99,2.13,-1.51,-19.36,→,→,↑,均线交织,均线交织,多头(价回MA5下),292.978,292.34,293.5805,282.8445,0.31,50.54,54.08,48.52,65.2,死叉,死叉,金叉,1.508,1.9804,1.05,1.09,-28.75,63.6,6.04,,,,
AI硬件,300684,中石科技,SZ,99.77,1.92,17.92,18.49,78.0,→,↑,↑,均线交织,多头排列,多头排列,94.822,89.991,90.8005,70.5435,9.88,53.62,69.5,52.2,104.1,死叉,金叉,金叉,5.934,6.1182,0.86,0.67,-6.48,90.5,7.88,,,,
AI硬件,300757,罗博特科,SZ,620.78,0.03,1.38,25.06,6.85,→,→,↑,均线交织,均线交织,多头排列,612.7,623.07,592.3305,515.1198,4.8,66.56,41.44,50.86,22.6,死叉,金叉,金叉,28.5958,30.83,0.9,0.79,-13.06,82.2,4.27,,,,
AI硬件,300857,协创数据,SZ,273.1,1.94,8.33,13.41,-16.69,↑,→,↑,多头排列,均线交织,多头排列,263.54,261.948,258.993,255.7033,5.45,59.31,66.14,54.61,89.2,金叉,死叉,金叉,3.8943,2.9907,1.0,0.81,-23.19,65.6,5.07,,,,
AI硬件,301128,强瑞技术,SZ,121.95,-1.61,13.6,14.94,-16.5,→,→,↑,均线交织,均线交织,多头(价回MA5下),119.774,115.762,117.006,117.3218,4.23,54.54,69.82,56.18,97.11,金叉,死叉,金叉,1.464,0.5656,0.69,0.94,-36.42,48.5,6.37,,是,,
AI硬件,301200,大族数控,SZ,261.96,-3.4,2.3,-1.89,-23.73,→,↓,↑,均线交织,空头排列,多头(价回MA5下),263.112,261.905,265.377,278.8945,-1.29,46.75,54.75,48.41,67.42,金叉,死叉,金叉,-3.4124,-3.8255,1.19,1.19,-33.74,56.7,5.3,,,,
AI硬件,301205,联特科技,SZ,321.0,-0.82,16.01,5.6,7.0,→,→,↑,均线交织,均线交织,多头排列,302.252,298.563,301.593,277.4438,6.43,57.13,68.04,49.42,105.28,刚金叉,刚金叉,金叉,5.4707,4.3523,0.73,0.93,-15.08,80.5,6.12,,,,
AI硬件,301217,铜冠铜箔,SZ,111.53,-1.55,2.6,0.38,-30.59,→,→,↑,均线交织,均线交织,多头(价回MA5下),112.968,110.195,110.4505,114.9103,0.98,46.48,63.89,60.78,70.1,金叉,死叉,金叉,-0.2255,-0.8269,0.76,1.03,-44.83,48.3,6.12,,,,
AI硬件,301377,鼎泰高科,SZ,399.85,-2.21,3.86,1.74,-27.8,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),403.844,397.682,397.3115,423.517,0.64,55.57,63.59,59.23,72.32,金叉,死叉,金叉,-4.2292,-6.5778,1.1,1.02,-39.96,55.8,4.75,,,,
AI硬件,301511,德福科技,SZ,110.61,0.1,1.45,35.1,-20.68,↑,→,↑,多头排列,均线交织,多头排列,110.374,108.476,98.9555,97.4838,11.78,68.69,65.18,72.39,50.78,金叉,死叉,金叉,5.4318,4.1135,0.85,0.89,-38.17,54.8,6.83,,,,
AI硬件,301526,国际复材,SZ,31.32,0.45,1.52,4.09,-34.5,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),31.702,30.414,29.67,33.354,5.56,66.99,60.76,60.82,60.63,金叉,死叉,N/A,-0.2734,-0.7814,0.76,1.21,-42.11,53.2,6.85,,,,
AI硬件,301536,星宸科技,SZ,125.92,0.12,14.65,10.16,4.21,→,→,↑,均线交织,均线交织,多头排列,117.64,115.975,119.3735,118.5927,5.48,42.97,63.55,40.76,109.14,刚金叉,死叉,N/A,-0.1745,-0.5636,1.16,0.87,-14.12,77.8,4.86,,,,
AI硬件,301591,肯特股份,SZ,45.919339901477834,3.56,5.67,22.56,-3.52,→,→,↑,均线交织,均线交织,多头排列,44.9153,44.9493,47.1479,37.4404,-2.61,36.34,40.75,34.17,53.92,死叉,金叉,N/A,1.7198,2.5179,0.83,0.69,-23.93,61.4,8.06,,是,,
AI硬件,515880,通信ETF国泰,SH,7.12,1.14,8.37,9.88,-58.48,→,→,↓,均线交织,均线交织,空头排列,6.88,6.791,6.6885,7.4113,6.45,65.24,77.17,67.95,95.61,金叉,刚金叉,死叉,-0.0526,-0.1642,2.11,0.42,-78.71,6.1,3.5,,,是,
AI硬件,600176,中国巨石,SH,45.87,1.89,1.28,15.05,-35.38,→,→,↑,均线交织,均线交织,多头(价回MA5下),46.504,44.999,43.5355,45.8292,5.36,58.85,54.35,61.97,39.13,金叉,死叉,金叉,0.8799,0.4355,0.84,1.34,-40.58,49.8,6.39,,,,
