交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260414,IF2604,1,中信期货(代客),9460,793,国泰君安(代客),8043,361,中信期货(代客),8031,-620
20260414,IF2604,2,国泰君安(代客),7865,118,中信期货(代客),5042,82,国泰君安(代客),5091,264
20260414,IF2604,3,海通期货(代客),3903,-54,海通期货(代客),3196,-278,海通期货(代客),2715,529
20260414,IF2604,4,东证期货(代客),3709,46,华泰期货(代客),2206,411,中银期货(代客),2551,90
20260414,IF2604,5,国信期货(代客),1783,401,东证期货(代客),1972,351,东证期货(代客),1806,242
20260414,IF2604,6,中信建投(代客),1247,62,广发期货(代客),1407,-56,中金期货(代客),1585,-626
20260414,IF2604,7,广发期货(代客),1230,-245,银河期货(代客),1206,-83,申银万国(代客),1536,49
20260414,IF2604,8,银河期货(代客),1131,281,国信期货(代客),990,157,国富期货(代客),1281,-97
20260414,IF2604,9,华泰期货(代客),1060,512,光大期货(代客),849,-153,华泰期货(代客),1029,-163
20260414,IF2604,10,华闻期货(代客),987,11,中信建投(代客),828,-139,中信建投(代客),851,-110
20260414,IF2604,11,中泰期货(代客),851,54,南华期货(代客),726,-198,银河期货(代客),770,-252
20260414,IF2604,12,光大期货(代客),775,42,申银万国(代客),608,-166,光大期货(代客),704,102
20260414,IF2604,13,招商期货(代客),736,307,永安期货(代客),500,-150,广发期货(代客),649,22
20260414,IF2604,14,申银万国(代客),663,34,平安期货(代客),485,10,国信期货(代客),638,-58
20260414,IF2604,15,五矿期货(代客),652,323,华闻期货(代客),445,44,中泰期货(代客),576,108
20260414,IF2604,16,兴证期货(代客),627,84,兴证期货(代客),444,28,华闻期货(代客),552,11
20260414,IF2604,17,中金期货(代客),626,511,兴业期货(代客),439,3,永安期货(代客),535,-38
20260414,IF2604,18,永安期货(代客),554,-41,国富期货(代客),398,-54,兴证期货(代客),443,87
20260414,IF2604,19,南华期货(代客),521,205,中粮期货(代客),390,25,招商期货(代客),384,-55
20260414,IF2604,20,宏源期货(代客),514,64,宏源期货(代客),388,-51,宏源期货(代客),341,-27
20260414,IF2605,1,国泰君安(代客),2926,1653,国泰君安(代客),3254,1183,国泰君安(代客),2265,635
20260414,IF2605,2,中信期货(代客),2772,943,中信期货(代客),1831,458,中信期货(代客),2161,744
20260414,IF2605,3,海通期货(代客),2222,703,浙商期货(代客),1120,38,海通期货(代客),2112,599
20260414,IF2605,4,东证期货(代客),1471,67,海通期货(代客),1103,839,中金期货(代客),880,870
20260414,IF2605,5,中金期货(代客),870,868,光大期货(代客),960,69,东证期货(代客),680,248
20260414,IF2605,6,摩根大通(代客),505,495,东证期货(代客),882,173,摩根大通(代客),659,493
20260414,IF2605,7,广发期货(代客),328,269,瑞银期货(代客),700,3,银河期货(代客),443,98
20260414,IF2605,8,银河期货(代客),313,167,银河期货(代客),451,183,中银期货(代客),429,4
20260414,IF2605,9,招商期货(代客),293,251,华泰期货(代客),304,117,中粮期货(代客),369,-47
20260414,IF2605,10,华泰期货(代客),288,136,广发期货(代客),295,214,招商期货(代客),314,75
20260414,IF2605,11,国信期货(代客),285,70,招商期货(代客),244,130,申银万国(代客),302,23
20260414,IF2605,12,华闻期货(代客),251,135,中粮期货(代客),204,5,中信建投(代客),300,5
20260414,IF2605,13,永安期货(代客),240,93,中银期货(代客),195,29,中金财富(代客),238,41
20260414,IF2605,14,中泰期货(代客),208,148,国信期货(代客),180,27,国信期货(代客),232,32
20260414,IF2605,15,国投期货(代客),179,118,永安期货(代客),162,52,国投期货(代客),223,70
20260414,IF2605,16,南华期货(代客),176,42,南华期货(代客),156,45,永安期货(代客),214,56
20260414,IF2605,17,浙商期货(代客),159,-375,华闻期货(代客),154,98,海证期货(代客),210,34
20260414,IF2605,18,光大期货(代客),149,68,广州期货(代客),135,2,华闻期货(代客),209,63
20260414,IF2605,19,中财期货(代客),143,140,平安期货(代客),132,6,平安期货(代客),200,6
20260414,IF2605,20,中信建投(代客),118,79,中泰期货(代客),127,63,国富期货(代客),188,107
20260414,IF2606,1,中信期货(代客),17352,1841,国泰君安(代客),24016,1926,中信期货(代客),23004,1436
20260414,IF2606,2,国泰君安(代客),14862,2289,中信期货(代客),14838,900,国泰君安(代客),15605,2282
20260414,IF2606,3,海通期货(代客),7582,1068,海通期货(代客),7008,1312,华泰期货(代客),9055,287
20260414,IF2606,4,东证期货(代客),6734,608,东证期货(代客),6016,-375,东证期货(代客),7039,183
20260414,IF2606,5,国信期货(代客),4313,664,华泰期货(代客),4633,325,国投期货(代客),6093,-418
20260414,IF2606,6,华闻期货(代客),2928,559,广发期货(代客),4381,-50,银河期货(代客),5918,450
20260414,IF2606,7,国投期货(代客),2827,-142,大越期货(代客),3820,-172,海通期货(代客),4968,910
20260414,IF2606,8,银河期货(代客),2702,1095,国投期货(代客),3496,-421,瑞银期货(代客),4798,15
20260414,IF2606,9,华泰期货(代客),2422,-788,永安期货(代客),3404,-111,招商期货(代客),4509,62
20260414,IF2606,10,广发期货(代客),2379,846,银河期货(代客),3298,32,国信期货(代客),4144,48
20260414,IF2606,11,中泰期货(代客),2348,490,国信期货(代客),2818,449,摩根大通(代客),3741,0
20260414,IF2606,12,光大期货(代客),1847,545,浙商期货(代客),2717,19,申银万国(代客),3522,57
20260414,IF2606,13,永安期货(代客),1787,695,兴证期货(代客),2621,-4,中金财富(代客),3448,-68
20260414,IF2606,14,中信建投(代客),1670,431,申银万国(代客),2611,260,中信建投(代客),3069,101
20260414,IF2606,15,南华期货(代客),1576,211,南华期货(代客),2454,142,中金期货(代客),2980,24
20260414,IF2606,16,兴证期货(代客),1463,42,光大期货(代客),2182,16,光大期货(代客),2801,405
20260414,IF2606,17,东吴期货(代客),1354,332,宝城期货(代客),2045,-11,广发期货(代客),2726,233
20260414,IF2606,18,东海期货(代客),1346,638,中信建投(代客),1966,131,永安期货(代客),2163,-78
20260414,IF2606,19,招商期货(代客),1256,469,中泰期货(代客),1856,231,平安期货(代客),2108,41
20260414,IF2606,20,申银万国(代客),1107,42,东海期货(代客),1783,141,中粮期货(代客),1833,9
20260414,IF2609,1,中信期货(代客),3326,686,国泰君安(代客),12070,293,华泰期货(代客),11358,28
20260414,IF2609,2,海通期货(代客),2571,478,中信期货(代客),7122,109,中信期货(代客),7564,171
20260414,IF2609,3,国泰君安(代客),2403,527,中金期货(代客),3704,844,海通期货(代客),6807,477
20260414,IF2609,4,东证期货(代客),1706,320,海通期货(代客),2966,564,国泰君安(代客),5855,388
20260414,IF2609,5,华闻期货(代客),922,364,浙商期货(代客),2712,47,方正中期(代客),3679,21
20260414,IF2609,6,中泰期货(代客),864,336,东证期货(代客),2250,436,东证期货(代客),2976,558
20260414,IF2609,7,中金期货(代客),844,735,银河期货(代客),2181,38,广发期货(代客),2875,21
20260414,IF2609,8,国信期货(代客),777,142,大越期货(代客),2169,-11,申银万国(代客),2276,10
20260414,IF2609,9,中银期货(代客),512,446,中银期货(代客),2075,-331,招商期货(代客),2237,2
20260414,IF2609,10,华泰期货(代客),399,141,广发期货(代客),1909,56,瑞银期货(代客),1939,25
20260414,IF2609,11,南华期货(代客),361,9,国投期货(代客),1866,-13,银河期货(代客),1284,15
20260414,IF2609,12,融达期货(代客),345,179,华泰期货(代客),1566,49,国信期货(代客),1182,94
20260414,IF2609,13,国投期货(代客),282,-161,申银万国(代客),1551,22,国投期货(代客),1164,3
20260414,IF2609,14,港信期货(代客),282,279,兴证期货(代客),1019,66,宏源期货(代客),1143,5
20260414,IF2609,15,浙商期货(代客),271,105,光大期货(代客),906,18,中信建投(代客),1010,7
20260414,IF2609,16,五矿期货(代客),271,78,平安期货(代客),905,28,中金财富(代客),923,129
20260414,IF2609,17,银河期货(代客),267,71,长江期货(代客),886,16,光大期货(代客),827,-3
20260414,IF2609,18,中信建投(代客),265,131,永安期货(代客),860,7,华闻期货(代客),810,135
20260414,IF2609,19,方正中期(代客),260,0,宝城期货(代客),842,16,兴业期货(代客),768,43
20260414,IF2609,20,兴证期货(代客),257,60,中信建投(代客),793,54,摩根大通(代客),741,0
