交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260420,IF2605,1,中信期货(代客),8795,324,国泰君安(代客),7973,1112,中信期货(代客),7144,696
20260420,IF2605,2,国泰君安(代客),7715,-736,中信期货(代客),4907,187,国泰君安(代客),5494,725
20260420,IF2605,3,东证期货(代客),3776,-30,海通期货(代客),3262,586,海通期货(代客),3704,239
20260420,IF2605,4,海通期货(代客),3745,-671,东证期货(代客),2104,300,中金期货(代客),3482,176
20260420,IF2605,5,国信期货(代客),1908,434,浙商期货(代客),1884,536,东证期货(代客),1967,368
20260420,IF2605,6,浙商期货(代客),1551,768,光大期货(代客),1614,-14,中银期货(代客),1844,172
20260420,IF2605,7,银河期货(代客),1279,206,华泰期货(代客),1559,17,摩根大通(代客),1230,0
20260420,IF2605,8,广发期货(代客),1211,215,银河期货(代客),1300,227,国信期货(代客),795,34
20260420,IF2605,9,中泰期货(代客),1111,257,广发期货(代客),985,-44,永安期货(代客),736,10
20260420,IF2605,10,光大期货(代客),863,54,国信期货(代客),960,86,国富期货(代客),692,-2
20260420,IF2605,11,华闻期货(代客),787,272,瑞银期货(代客),857,85,光大期货(代客),655,125
20260420,IF2605,12,华泰期货(代客),685,-264,永安期货(代客),543,-75,银河期货(代客),625,-52
20260420,IF2605,13,中金财富(代客),621,252,中信建投(代客),540,55,广发期货(代客),587,137
20260420,IF2605,14,兴证期货(代客),612,-3,招商期货(代客),447,-17,中信建投(代客),549,40
20260420,IF2605,15,永安期货(代客),583,-7,申银万国(代客),439,12,华闻期货(代客),542,152
20260420,IF2605,16,招商期货(代客),569,67,南华期货(代客),409,12,招商期货(代客),504,4
20260420,IF2605,17,瑞达期货(代客),455,-55,华闻期货(代客),380,65,申银万国(代客),471,-17
20260420,IF2605,18,申银万国(代客),413,-297,中粮期货(代客),370,25,国投期货(代客),430,22
20260420,IF2605,19,民生期货(代客),308,213,国富期货(代客),364,14,中金财富(代客),410,26
20260420,IF2605,20,方正中期(代客),296,106,平安期货(代客),360,-31,中泰期货(代客),402,-60
20260420,IF2606,1,中信期货(代客),19781,3252,国泰君安(代客),24835,1079,中信期货(代客),23554,977
20260420,IF2606,2,国泰君安(代客),14223,-318,中信期货(代客),15849,628,国泰君安(代客),15349,1188
20260420,IF2606,3,东证期货(代客),6908,735,海通期货(代客),8521,1060,华泰期货(代客),9653,-136
20260420,IF2606,4,海通期货(代客),6874,266,东证期货(代客),6281,-230,国投期货(代客),7039,87
20260420,IF2606,5,国信期货(代客),3580,97,华泰期货(代客),4747,225,东证期货(代客),6938,352
