交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260226,IH2603,1,国泰君安(代客),8371,-1348,国泰君安(代客),6994,-976,广发期货(代客),8890,-601
20260226,IH2603,2,中信期货(代客),8317,-2565,中信期货(代客),5995,-734,国泰君安(代客),7634,-183
20260226,IH2603,3,海通期货(代客),3553,-802,光大期货(代客),3068,289,海通期货(代客),7345,143
20260226,IH2603,4,东证期货(代客),3204,-899,永安期货(代客),2729,-6,中信期货(代客),6636,-547
20260226,IH2603,5,国信期货(代客),2710,-26,银河期货(代客),2576,41,光大期货(代客),4585,-608
20260226,IH2603,6,华泰期货(代客),2208,283,东证期货(代客),2492,-471,银河期货(代客),2638,57
20260226,IH2603,7,银河期货(代客),1706,-555,国信期货(代客),2193,141,东证期货(代客),2263,-269
20260226,IH2603,8,光大期货(代客),1699,-608,国投期货(代客),1678,-198,华泰期货(代客),1689,143
20260226,IH2603,9,华闻期货(代客),1692,-23,华泰期货(代客),1633,-23,国信期货(代客),1261,11
20260226,IH2603,10,中泰期货(代客),1580,-277,海通期货(代客),1513,-156,瑞银期货(代客),1129,-4
20260226,IH2603,11,国投期货(代客),1549,-141,广发期货(代客),1508,-96,中银期货(代客),1063,-157
20260226,IH2603,12,广发期货(代客),1443,68,中信建投(代客),1454,66,国投期货(代客),865,25
20260226,IH2603,13,中信建投(代客),1144,-661,中泰期货(代客),1370,-92,国金期货(代客),858,50
20260226,IH2603,14,申银万国(代客),1066,301,宝城期货(代客),1171,55,申银万国(代客),835,-316
20260226,IH2603,15,平安期货(代客),771,-154,南华期货(代客),1105,-65,中信建投(代客),827,88
20260226,IH2603,16,招商期货(代客),648,-99,建信期货(代客),1087,-4,恒泰期货(代客),757,0
20260226,IH2603,17,中辉期货(代客),646,103,宏源期货(代客),992,-7,宏源期货(代客),662,-71
20260226,IH2603,18,瑞达期货(代客),623,-38,兴证期货(代客),925,-25,永安期货(代客),492,-19
20260226,IH2603,19,南华期货(代客),618,-409,国贸期货(代客),914,5,中泰期货(代客),444,-76
20260226,IH2603,20,东方财富(代客),615,-182,中银期货(代客),885,-18,国海良时(代客),436,-1
20260226,IH2606,1,中信期货(代客),2918,-127,中信期货(代客),2738,-201,中信期货(代客),4820,-11
20260226,IH2606,2,国泰君安(代客),2254,-572,国泰君安(代客),2308,-319,海通期货(代客),3735,-285
20260226,IH2606,3,海通期货(代客),1328,-405,永安期货(代客),1359,16,国泰君安(代客),3321,9
20260226,IH2606,4,国投期货(代客),1056,137,中银期货(代客),1217,5,广发期货(代客),3210,-28
20260226,IH2606,5,国信期货(代客),945,-273,中信建投(代客),1067,104,国信期货(代客),2365,32
20260226,IH2606,6,东证期货(代客),775,-65,南华期货(代客),1019,112,华泰期货(代客),1343,0
20260226,IH2606,7,光大期货(代客),697,318,平安期货(代客),820,33,光大期货(代客),1180,-9
20260226,IH2606,8,华闻期货(代客),499,-188,国投期货(代客),786,116,东证期货(代客),871,-89
20260226,IH2606,9,中泰期货(代客),323,-413,银河期货(代客),782,30,银河期货(代客),723,32
20260226,IH2606,10,中信建投(代客),309,-197,光大期货(代客),766,114,恒泰期货(代客),590,0
20260226,IH2606,11,华泰期货(代客),289,-72,东证期货(代客),751,-156,招商期货(代客),475,7
20260226,IH2606,12,南华期货(代客),281,153,海通期货(代客),717,-281,中金财富(代客),432,90
20260226,IH2606,13,申银万国(代客),256,-79,广发期货(代客),634,-14,中信建投(代客),390,19
20260226,IH2606,14,银河期货(代客),250,3,华泰期货(代客),630,41,正信期货(代客),361,102
20260226,IH2606,15,广发期货(代客),244,-55,国信期货(代客),617,-37,申银万国(代客),357,29
20260226,IH2606,16,瑞达期货(代客),239,2,申银万国(代客),580,65,方正中期(代客),351,-5
20260226,IH2606,17,中电投(代客),230,224,中金财富(代客),569,-1,华闻期货(代客),317,-100
20260226,IH2606,18,正信期货(代客),196,-430,国贸期货(代客),567,6,宝城期货(代客),309,6
20260226,IH2606,19,中金财富(代客),195,-569,方正中期(代客),466,19,瑞银期货(代客),281,0
20260226,IH2606,20,兴证期货(代客),188,24,中辉期货(代客),431,-8,南华期货(代客),211,-13
20260226,IH2609,1,国泰君安(代客),858,-243,国泰君安(代客),1020,-8,中信期货(代客),2079,30
20260226,IH2609,2,海通期货(代客),834,-345,中信期货(代客),755,-63,光大期货(代客),1906,397
20260226,IH2609,3,中信期货(代客),713,-295,中银期货(代客),627,253,国泰君安(代客),1430,-66
20260226,IH2609,4,国投期货(代客),702,-23,永安期货(代客),600,18,华泰期货(代客),1185,-9
20260226,IH2609,5,光大期货(代客),529,-372,平安期货(代客),581,74,海通期货(代客),971,-282
20260226,IH2609,6,申银万国(代客),427,31,国信期货(代客),491,-54,宏源期货(代客),932,56
20260226,IH2609,7,东证期货(代客),376,-131,海通期货(代客),477,-276,东证期货(代客),803,-145
20260226,IH2609,8,国信期货(代客),275,-98,东证期货(代客),421,-131,国投期货(代客),569,-181
20260226,IH2609,9,中银期货(代客),254,239,国投期货(代客),411,-257,招商期货(代客),530,-2
