交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20250512,IH2505,1,中信期货(代客),5102,1404,中信期货(代客),3331,438,中信期货(代客),2779,394
20250512,IH2505,2,国泰君安(代客),4676,1661,国泰君安(代客),3089,367,国泰君安(代客),2661,273
20250512,IH2505,3,海通期货(代客),2882,1376,海通期货(代客),1072,139,海通期货(代客),1043,157
20250512,IH2505,4,国信期货(代客),1594,688,国信期货(代客),835,-44,广发期货(代客),1002,38
20250512,IH2505,5,东证期货(代客),1191,446,瑞银期货(代客),787,-232,东证期货(代客),935,195
20250512,IH2505,6,银河期货(代客),1042,363,东证期货(代客),552,92,中金期货(代客),854,400
20250512,IH2505,7,华闻期货(代客),891,284,宝城期货(代客),472,-99,银河期货(代客),811,74
20250512,IH2505,8,国投期货(代客),657,145,光大期货(代客),456,-7,国信期货(代客),648,-34
20250512,IH2505,9,华泰期货(代客),637,104,国投期货(代客),358,195,华泰期货(代客),513,-27
20250512,IH2505,10,广发期货(代客),610,214,银河期货(代客),355,-144,国投期货(代客),513,210
20250512,IH2505,11,瑞达期货(代客),556,283,华闻期货(代客),339,4,中银期货(代客),495,-463
20250512,IH2505,12,光大期货(代客),528,35,广发期货(代客),329,78,光大期货(代客),328,-5
20250512,IH2505,13,中银期货(代客),497,451,中信建投(代客),297,-25,华闻期货(代客),314,-49
20250512,IH2505,14,宝城期货(代客),411,153,华泰期货(代客),295,100,宏源期货(代客),218,-51
20250512,IH2505,15,中金期货(代客),400,358,中泰期货(代客),269,50,南华期货(代客),214,-42
20250512,IH2505,16,中泰期货(代客),360,81,永安期货(代客),245,-85,瑞达期货(代客),213,37
20250512,IH2505,17,永安期货(代客),299,166,瑞达期货(代客),236,65,中信建投(代客),167,20
20250512,IH2505,18,中信建投(代客),291,73,中金财富(代客),192,-23,上海中期(代客),167,-4
20250512,IH2505,19,兴证期货(代客),285,22,申银万国(代客),162,19,永安期货(代客),166,56
20250512,IH2505,20,金元期货(代客),264,74,紫金天风(代客),160,5,国富期货(代客),165,-5
20250512,IH2506,1,国泰君安(代客),9987,3552,国泰君安(代客),7998,1732,国泰君安(代客),9911,1913
20250512,IH2506,2,中信期货(代客),9592,5088,中信期货(代客),6313,1646,中信期货(代客),5707,1398
20250512,IH2506,3,海通期货(代客),4112,1834,东证期货(代客),2836,6,广发期货(代客),4741,790
20250512,IH2506,4,东证期货(代客),4043,1950,中泰期货(代客),2536,600,国投期货(代客),3421,221
20250512,IH2506,5,广发期货(代客),2162,1570,海通期货(代客),2344,544,东证期货(代客),2613,621
20250512,IH2506,6,国信期货(代客),1897,716,银河期货(代客),1795,82,瑞银期货(代客),2320,17
20250512,IH2506,7,华泰期货(代客),1805,864,国信期货(代客),1621,367,海通期货(代客),1822,700
20250512,IH2506,8,银河期货(代客),1544,375,国投期货(代客),1467,184,银河期货(代客),1813,286
20250512,IH2506,9,中泰期货(代客),1348,807,广发期货(代客),1411,52,光大期货(代客),1605,59
20250512,IH2506,10,华闻期货(代客),1329,566,华泰期货(代客),1113,-86,华泰期货(代客),1410,409
20250512,IH2506,11,国投期货(代客),1325,569,南华期货(代客),842,-40,中银期货(代客),1307,661
20250512,IH2506,12,中信建投(代客),1158,444,华闻期货(代客),811,232,国信期货(代客),1234,200
20250512,IH2506,13,中银期货(代客),1014,897,永安期货(代客),794,87,永安期货(代客),811,-243
20250512,IH2506,14,东方财富(代客),930,393,中信建投(代客),750,-20,宏源期货(代客),767,-39
20250512,IH2506,15,永安期货(代客),900,592,申银万国(代客),745,268,中信建投(代客),702,6
20250512,IH2506,16,平安期货(代客),793,334,平安期货(代客),731,0,招商期货(代客),627,58
20250512,IH2506,17,光大期货(代客),703,176,宏源期货(代客),688,117,中金期货(代客),600,0
20250512,IH2506,18,方正中期(代客),672,200,海证期货(代客),664,26,华闻期货(代客),578,67
20250512,IH2506,19,申银万国(代客),670,167,招商期货(代客),632,65,申银万国(代客),553,-14
20250512,IH2506,20,招商期货(代客),659,230,一德期货(代客),618,387,宝城期货(代客),395,-106
20250512,IH2509,1,中信期货(代客),1636,659,国泰君安(代客),1597,371,国泰君安(代客),2654,331
20250512,IH2509,2,国泰君安(代客),1592,600,中信期货(代客),1091,168,中信期货(代客),2447,312
20250512,IH2509,3,海通期货(代客),1294,676,海通期货(代客),876,243,海通期货(代客),2351,225
20250512,IH2509,4,国投期货(代客),718,181,永安期货(代客),768,-3,华泰期货(代客),1732,-3
20250512,IH2509,5,国信期货(代客),700,514,国信期货(代客),760,40,光大期货(代客),1519,8
20250512,IH2509,6,华闻期货(代客),542,360,南华期货(代客),694,4,国投期货(代客),1380,167
20250512,IH2509,7,东证期货(代客),444,176,华泰期货(代客),682,21,广发期货(代客),1376,14
20250512,IH2509,8,中信建投(代客),361,273,中信建投(代客),675,74,东证期货(代客),1116,130
20250512,IH2509,9,广发期货(代客),234,61,银河期货(代客),652,20,国信期货(代客),518,246
20250512,IH2509,10,中银期货(代客),192,184,东证期货(代客),643,104,银河期货(代客),444,36
20250512,IH2509,11,银河期货(代客),144,75,国投期货(代客),597,195,宝城期货(代客),370,8
20250512,IH2509,12,华泰期货(代客),138,41,广发期货(代客),554,18,瑞银期货(代客),323,-17
20250512,IH2509,13,光大期货(代客),135,74,光大期货(代客),531,11,宏源期货(代客),255,0
20250512,IH2509,14,平安期货(代客),114,70,申银万国(代客),470,-24,华闻期货(代客),247,144
20250512,IH2509,15,招商期货(代客),113,26,平安期货(代客),453,4,海证期货(代客),196,-4
20250512,IH2509,16,东方财富(代客),104,63,中泰期货(代客),420,-14,国联期货(代客),180,1
20250512,IH2509,17,方正中期(代客),95,55,东方财富(代客),359,1,申银万国(代客),170,-12
20250512,IH2509,18,中辉期货(代客),93,71,五矿期货(代客),351,-8,东吴期货(代客),163,-2
20250512,IH2509,19,宝城期货(代客),92,20,中财期货(代客),283,15,招商期货(代客),157,-2
20250512,IH2509,20,中泰期货(代客),80,23,方正中期(代客),282,1,东海期货(代客),142,0
