交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20250526,IM2506,1,国泰君安(代客),40969,-10333,中信期货(代客),23775,-3342,中信期货(代客),32771,-4199
20250526,IM2506,2,中信期货(代客),39033,-12639,国泰君安(代客),22747,-2729,国泰君安(代客),22339,-3490
20250526,IM2506,3,海通期货(代客),15319,-1308,东证期货(代客),9216,-498,东证期货(代客),9265,-1132
20250526,IM2506,4,东证期货(代客),13160,-3136,华泰期货(代客),7801,394,华泰期货(代客),7993,-276
20250526,IM2506,5,中泰期货(代客),7604,-2377,海通期货(代客),6768,15,海通期货(代客),7959,-164
20250526,IM2506,6,国信期货(代客),7157,-1968,银河期货(代客),6545,-187,广发期货(代客),7617,-114
20250526,IM2506,7,银河期货(代客),6842,-1761,中泰期货(代客),5774,-261,国投期货(代客),5910,95
20250526,IM2506,8,华泰期货(代客),6588,-757,广发期货(代客),4935,-252,银河期货(代客),5515,-173
20250526,IM2506,9,华闻期货(代客),5789,-2146,永安期货(代客),4427,194,中信建投(代客),4873,48
20250526,IM2506,10,中信建投(代客),5769,-1089,国信期货(代客),4074,-350,国信期货(代客),4564,-237
20250526,IM2506,11,广发期货(代客),5758,-1899,中信建投(代客),4041,-115,申银万国(代客),4048,334
20250526,IM2506,12,申银万国(代客),4828,69,光大期货(代客),2860,-304,招商期货(代客),3156,40
20250526,IM2506,13,瑞达期货(代客),3823,-1057,国投期货(代客),2820,-135,光大期货(代客),3071,-110
20250526,IM2506,14,光大期货(代客),3692,-1959,南华期货(代客),2715,-166,中泰期货(代客),3044,-577
20250526,IM2506,15,永安期货(代客),3514,-1072,申银万国(代客),2708,-622,兴证期货(代客),2914,-59
20250526,IM2506,16,金元期货(代客),3387,-408,兴证期货(代客),2683,-5,永安期货(代客),2751,-262
20250526,IM2506,17,兴证期货(代客),3228,-384,华闻期货(代客),2681,-227,华闻期货(代客),2727,-286
20250526,IM2506,18,东方财富(代客),3202,-992,一德期货(代客),2450,-73,国富期货(代客),2421,70
20250526,IM2506,19,东海期货(代客),2959,40,东海期货(代客),2255,14,中金财富(代客),2188,-181
20250526,IM2506,20,浙商期货(代客),2926,-188,浙商期货(代客),2159,-44,东海期货(代客),1959,-161
20250526,IM2509,1,中信期货(代客),13492,-3330,国泰君安(代客),12611,-646,中信期货(代客),15526,-876
20250526,IM2509,2,国泰君安(代客),12296,-4050,中信期货(代客),10434,-516,国泰君安(代客),11937,-1098
20250526,IM2509,3,海通期货(代客),5830,351,国投期货(代客),3998,-8,瑞银期货(代客),5384,-33
20250526,IM2509,4,东证期货(代客),2983,-756,海通期货(代客),3109,-144,华泰期货(代客),4522,60
20250526,IM2509,5,华闻期货(代客),2017,-1271,银河期货(代客),2564,54,海通期货(代客),3298,-74
20250526,IM2509,6,国信期货(代客),1873,-1130,东证期货(代客),2406,-186,国投期货(代客),2936,212
20250526,IM2509,7,银河期货(代客),1635,229,中泰期货(代客),2388,13,东证期货(代客),2818,-351
20250526,IM2509,8,瑞达期货(代客),1563,-221,一德期货(代客),2224,-29,中信建投(代客),2485,31
20250526,IM2509,9,广发期货(代客),1152,-456,宝城期货(代客),2208,-36,国信期货(代客),2442,-485
20250526,IM2509,10,金元期货(代客),1084,-164,兴证期货(代客),2133,-52,申银万国(代客),2219,79
20250526,IM2509,11,华泰期货(代客),1048,-506,华泰期货(代客),1842,98,银河期货(代客),2028,-417
20250526,IM2509,12,渤海期货(代客),886,394,广发期货(代客),1624,-110,广发期货(代客),1856,-108
20250526,IM2509,13,中信建投(代客),856,-568,中信建投(代客),1584,-237,国富期货(代客),1644,-4
20250526,IM2509,14,平安期货(代客),840,-176,平安期货(代客),1474,-204,华闻期货(代客),1590,-289
20250526,IM2509,15,招商期货(代客),770,-171,浙商期货(代客),1385,-34,永安期货(代客),1573,43
20250526,IM2509,16,申银万国(代客),764,38,国信期货(代客),1324,-282,摩根大通(代客),1497,0
20250526,IM2509,17,中泰期货(代客),705,-450,金瑞期货(代客),1291,24,中金财富(代客),1392,1
20250526,IM2509,18,五矿期货(代客),642,-350,南华期货(代客),1150,-53,兴证期货(代客),1390,-29
20250526,IM2509,19,光大期货(代客),588,-210,建信期货(代客),1145,-13,平安期货(代客),1301,38
20250526,IM2509,20,东兴期货(代客),572,-187,光大期货(代客),1100,-21,招商期货(代客),1285,-33
20250526,IM2512,1,中信期货(代客),6221,-1342,国泰君安(代客),6360,131,海通期货(代客),5768,-324
20250526,IM2512,2,国泰君安(代客),4500,-2564,国投期货(代客),5962,98,国泰君安(代客),5639,-295
20250526,IM2512,3,海通期货(代客),2776,-346,中信期货(代客),5018,-830,中信期货(代客),4526,-833
20250526,IM2512,4,东证期货(代客),1598,-329,东证期货(代客),1933,-378,华泰期货(代客),3150,12
