交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20251105,IH2511,1,中信期货(代客),4801,-133,国泰君安(代客),3099,15,中信期货(代客),2684,31
20251105,IH2511,2,海通期货(代客),2733,237,中信期货(代客),2993,-14,国泰君安(代客),2100,-89
20251105,IH2511,3,国泰君安(代客),2704,119,光大期货(代客),1116,-18,中银期货(代客),1268,-1
20251105,IH2511,4,东证期货(代客),1353,-102,海通期货(代客),996,-70,海通期货(代客),1079,13
20251105,IH2511,5,国信期货(代客),1316,138,国信期货(代客),873,34,东证期货(代客),616,-18
20251105,IH2511,6,国投期货(代客),1016,-31,东证期货(代客),521,23,瑞银期货(代客),613,0
20251105,IH2511,7,广发期货(代客),718,289,国投期货(代客),394,105,国信期货(代客),579,98
20251105,IH2511,8,银河期货(代客),515,-159,银河期货(代客),391,-44,中金期货(代客),557,-143
20251105,IH2511,9,招商期货(代客),446,32,华泰期货(代客),288,-31,银河期货(代客),461,93
20251105,IH2511,10,瑞达期货(代客),443,166,申银万国(代客),274,2,国投期货(代客),428,141
20251105,IH2511,11,华泰期货(代客),434,-71,中信建投(代客),226,-25,招商期货(代客),389,97
20251105,IH2511,12,光大期货(代客),427,-113,广发期货(代客),203,-82,华泰期货(代客),343,-19
20251105,IH2511,13,中金期货(代客),425,397,宏源期货(代客),203,10,光大期货(代客),274,31
20251105,IH2511,14,中泰期货(代客),328,-53,华闻期货(代客),188,50,申银万国(代客),244,-18
20251105,IH2511,15,华闻期货(代客),315,-4,金元期货(代客),179,-22,广发期货(代客),213,24
20251105,IH2511,16,新世纪(代客),253,49,东吴期货(代客),178,-5,永安期货(代客),205,61
20251105,IH2511,17,金元期货(代客),238,58,中泰期货(代客),173,-8,上海中期(代客),194,18
20251105,IH2511,18,永安期货(代客),212,-25,永安期货(代客),172,-13,华闻期货(代客),179,55
20251105,IH2511,19,申银万国(代客),180,-36,招商期货(代客),134,57,中泰期货(代客),155,-24
20251105,IH2511,20,平安期货(代客),175,-28,瑞达期货(代客),134,53,瑞达期货(代客),148,50
20251105,IH2512,1,中信期货(代客),11333,1357,国泰君安(代客),7809,-362,国泰君安(代客),8777,52
20251105,IH2512,2,国泰君安(代客),9028,-101,中信期货(代客),6259,577,中信期货(代客),8358,494
20251105,IH2512,3,海通期货(代客),5881,740,中泰期货(代客),2718,64,广发期货(代客),5827,108
20251105,IH2512,4,东证期货(代客),3697,252,银河期货(代客),2642,61,海通期货(代客),5531,62
20251105,IH2512,5,国信期货(代客),3115,133,海通期货(代客),2463,299,光大期货(代客),3055,-218
20251105,IH2512,6,华泰期货(代客),2043,-206,东证期货(代客),2358,21,东证期货(代客),2827,88
20251105,IH2512,7,银河期货(代客),1922,268,国信期货(代客),1949,175,华泰期货(代客),2669,-40
20251105,IH2512,8,国投期货(代客),1568,-14,国投期货(代客),1851,-23,国信期货(代客),2610,232
20251105,IH2512,9,广发期货(代客),1561,66,华泰期货(代客),1785,-105,银河期货(代客),2477,225
20251105,IH2512,10,华闻期货(代客),1224,263,广发期货(代客),1776,85,中银期货(代客),2358,-15
20251105,IH2512,11,光大期货(代客),1151,138,永安期货(代客),1755,101,国投期货(代客),1912,-37
20251105,IH2512,12,南华期货(代客),1084,-70,光大期货(代客),1665,37,中金期货(代客),1117,284
20251105,IH2512,13,中泰期货(代客),1052,170,宏源期货(代客),1603,-310,瑞银期货(代客),1042,0
