交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260608,IM2606,1,中信期货(代客),80746,8502,国泰君安(代客),32985,1663,中信期货(代客),42407,-1693
20260608,IM2606,2,国泰君安(代客),63726,7622,中信期货(代客),28553,-1211,国泰君安(代客),26740,1321
20260608,IM2606,3,海通期货(代客),20184,2797,东证期货(代客),8490,-1260,海通期货(代客),12400,1308
20260608,IM2606,4,中泰期货(代客),18758,2242,银河期货(代客),7643,25,东证期货(代客),9227,-315
20260608,IM2606,5,东证期货(代客),17717,608,华泰期货(代客),7239,-474,华泰期货(代客),8730,-227
20260608,IM2606,6,华闻期货(代客),10572,1648,海通期货(代客),7003,-182,广发期货(代客),7305,547
20260608,IM2606,7,华泰期货(代客),9843,776,中泰期货(代客),6328,423,银河期货(代客),5800,94
20260608,IM2606,8,银河期货(代客),9315,898,广发期货(代客),5524,563,瑞银期货(代客),5664,74
20260608,IM2606,9,广发期货(代客),9022,1113,光大期货(代客),4865,175,中泰期货(代客),5332,283
20260608,IM2606,10,中信建投(代客),7963,-1152,国投期货(代客),4486,667,永安期货(代客),4430,96
20260608,IM2606,11,国信期货(代客),7946,179,中信建投(代客),4207,287,光大期货(代客),4265,877
20260608,IM2606,12,光大期货(代客),7908,158,国信期货(代客),3735,64,中信建投(代客),3749,26
20260608,IM2606,13,申银万国(代客),5776,601,永安期货(代客),3435,177,国投期货(代客),3330,126
20260608,IM2606,14,兴证期货(代客),5393,1466,浙商期货(代客),3430,577,国信期货(代客),3312,-70
20260608,IM2606,15,永安期货(代客),4911,1046,华闻期货(代客),3321,59,海证期货(代客),3097,-48
20260608,IM2606,16,瑞达期货(代客),4665,196,招商期货(代客),3267,322,华闻期货(代客),3089,-437
20260608,IM2606,17,国投期货(代客),4631,1636,申银万国(代客),2739,65,兴证期货(代客),2992,-58
20260608,IM2606,18,宏源期货(代客),4210,443,南华期货(代客),2711,-121,申银万国(代客),2988,569
20260608,IM2606,19,招商期货(代客),4038,530,兴证期货(代客),2608,455,招商期货(代客),2856,138
20260608,IM2606,20,创元期货(代客),3584,739,方正中期(代客),2523,79,中金财富(代客),2806,145
20260608,IM2607,1,中信期货(代客),6040,1797,中信期货(代客),4579,644,中信期货(代客),7177,1374
20260608,IM2607,2,国泰君安(代客),5015,1445,国泰君安(代客),3109,831,国泰君安(代客),4442,556
20260608,IM2607,3,海通期货(代客),4411,1785,东证期货(代客),1842,270,海通期货(代客),1757,530
20260608,IM2607,4,东证期货(代客),2430,709,海通期货(代客),1638,709,东证期货(代客),1133,212
20260608,IM2607,5,华闻期货(代客),1255,429,宝城期货(代客),1533,19,瑞银期货(代客),1084,76
20260608,IM2607,6,广发期货(代客),857,523,一德期货(代客),1205,0,国信期货(代客),1034,-207
20260608,IM2607,7,国信期货(代客),793,134,光大期货(代客),926,74,中金期货(代客),925,17
20260608,IM2607,8,华泰期货(代客),594,182,招商期货(代客),876,153,广发期货(代客),835,357
20260608,IM2607,9,国投期货(代客),542,139,国投期货(代客),749,172,国投期货(代客),488,120
20260608,IM2607,10,银河期货(代客),459,-100,华泰期货(代客),718,202,华闻期货(代客),451,152
20260608,IM2607,11,招商期货(代客),398,107,金瑞期货(代客),709,2,摩根大通(代客),443,326
20260608,IM2607,12,中信建投(代客),367,165,广发期货(代客),589,164,华泰期货(代客),416,146
20260608,IM2607,13,永安期货(代客),356,209,银河期货(代客),566,94,银河期货(代客),400,-15
20260608,IM2607,14,摩根大通(代客),326,326,大地期货(代客),563,39,金瑞期货(代客),377,10
20260608,IM2607,15,南华期货(代客),235,99,方正中期(代客),445,0,招商期货(代客),336,51
20260608,IM2607,16,中泰期货(代客),235,-13,华闻期货(代客),365,65,永安期货(代客),254,108
20260608,IM2607,17,中金财富(代客),227,35,国信期货(代客),326,-4,海证期货(代客),221,56
20260608,IM2607,18,光大期货(代客),204,15,东方财富(代客),274,15,中银期货(代客),209,165
20260608,IM2607,19,广州期货(代客),203,196,中金财富(代客),272,45,兴业期货(代客),181,-3
20260608,IM2607,20,中辉期货(代客),194,63,南华期货(代客),270,36,华西期货(代客),177,49
20260608,IM2609,1,中信期货(代客),33420,4197,国泰君安(代客),20861,558,中信期货(代客),26346,824
20260608,IM2609,2,国泰君安(代客),28307,4494,中信期货(代客),20306,362,国泰君安(代客),20873,331
20260608,IM2609,3,海通期货(代客),9745,1833,海通期货(代客),7806,660,华泰期货(代客),13153,-559
20260608,IM2609,4,华闻期货(代客),6244,759,一德期货(代客),6329,370,海通期货(代客),7170,579
20260608,IM2609,5,东证期货(代客),6149,1866,宝城期货(代客),4785,-10,东证期货(代客),5768,127
20260608,IM2609,6,中泰期货(代客),5293,-20,银河期货(代客),4471,192,银河期货(代客),4572,-114
20260608,IM2609,7,国信期货(代客),4912,933,申银万国(代客),4115,797,国投期货(代客),4497,106
20260608,IM2609,8,华泰期货(代客),3981,1335,东证期货(代客),4054,180,瑞银期货(代客),4217,128
20260608,IM2609,9,银河期货(代客),3484,438,光大期货(代客),3387,-4,国信期货(代客),4140,826
20260608,IM2609,10,申银万国(代客),2672,-32,华泰期货(代客),3216,-700,广发期货(代客),3632,219
20260608,IM2609,11,中信建投(代客),2487,627,国投期货(代客),3215,923,摩根大通(代客),3617,436
20260608,IM2609,12,瑞达期货(代客),2482,165,广发期货(代客),2970,157,中金财富(代客),3508,-14
