交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20251210,IC2512,1,中信期货(代客),27438,5526,中信期货(代客),16625,914,中信期货(代客),20386,1018
20251210,IC2512,2,国泰君安(代客),22462,3828,国泰君安(代客),15791,-1869,国泰君安(代客),14742,-1275
20251210,IC2512,3,海通期货(代客),8674,-135,东证期货(代客),5675,-304,华泰期货(代客),5893,-1059
20251210,IC2512,4,东证期货(代客),7308,1143,海通期货(代客),4971,-1218,东证期货(代客),5460,340
20251210,IC2512,5,国信期货(代客),5075,572,银河期货(代客),4525,-61,海通期货(代客),5175,-1308
20251210,IC2512,6,中泰期货(代客),5019,2126,国信期货(代客),3716,-36,中银期货(代客),4884,-734
20251210,IC2512,7,华泰期货(代客),4439,829,华泰期货(代客),2945,-360,国投期货(代客),3666,-475
20251210,IC2512,8,银河期货(代客),3114,903,中泰期货(代客),2516,319,银河期货(代客),3485,135
20251210,IC2512,9,广发期货(代客),2451,757,申银万国(代客),2455,164,中金期货(代客),3259,136
20251210,IC2512,10,华闻期货(代客),2357,413,南华期货(代客),2418,-511,瑞银期货(代客),2866,0
20251210,IC2512,11,光大期货(代客),2234,119,永安期货(代客),2307,-82,国信期货(代客),2413,149
20251210,IC2512,12,南华期货(代客),2122,855,国投期货(代客),2045,-15,中泰期货(代客),2199,554
20251210,IC2512,13,国投期货(代客),1970,222,中信建投(代客),2031,-4,光大期货(代客),2002,-568
20251210,IC2512,14,申银万国(代客),1959,61,浙商期货(代客),1902,-104,永安期货(代客),1898,-101
20251210,IC2512,15,招商期货(代客),1858,422,宏源期货(代客),1844,-118,广发期货(代客),1615,-182
20251210,IC2512,16,东海期货(代客),1816,987,光大期货(代客),1623,-28,招商期货(代客),1538,-259
20251210,IC2512,17,宏源期货(代客),1692,399,招商期货(代客),1605,51,中金财富(代客),1381,-219
20251210,IC2512,18,瑞达期货(代客),1644,226,一德期货(代客),1587,-41,宝城期货(代客),1349,-188
20251210,IC2512,19,永安期货(代客),1445,229,广发期货(代客),1532,-77,中信建投(代客),1322,-34
20251210,IC2512,20,东吴期货(代客),1394,394,中粮期货(代客),1386,7,华闻期货(代客),1225,-140
20251210,IC2601,1,中信期货(代客),3454,926,中信期货(代客),4650,606,国泰君安(代客),2724,506
20251210,IC2601,2,国泰君安(代客),2288,664,海通期货(代客),2562,433,中信期货(代客),2698,778
20251210,IC2601,3,东证期货(代客),1953,410,国泰君安(代客),2207,612,华泰期货(代客),1535,240
20251210,IC2601,4,海通期货(代客),1928,250,东证期货(代客),924,212,海通期货(代客),1357,311
20251210,IC2601,5,国信期货(代客),783,326,浙商期货(代客),787,7,国信期货(代客),905,-265
20251210,IC2601,6,华泰期货(代客),561,213,南华期货(代客),544,208,中银期货(代客),852,-13
20251210,IC2601,7,光大期货(代客),433,77,金瑞期货(代客),520,1,山金期货(代客),673,172
20251210,IC2601,8,一德期货(代客),352,335,宝城期货(代客),509,-7,东证期货(代客),669,223
20251210,IC2601,9,南华期货(代客),302,94,华泰期货(代客),495,61,广发期货(代客),658,6
20251210,IC2601,10,银河期货(代客),247,67,国信期货(代客),410,68,永安期货(代客),579,20
20251210,IC2601,11,招商期货(代客),242,34,国联期货(代客),341,1,银河期货(代客),492,14
20251210,IC2601,12,宏源期货(代客),203,63,中金财富(代客),268,-48,宏源期货(代客),414,-75
20251210,IC2601,13,中泰期货(代客),195,91,平安期货(代客),263,-2,中金财富(代客),413,96
20251210,IC2601,14,山金期货(代客),172,2,正信期货(代客),253,-5,招商期货(代客),377,163
20251210,IC2601,15,中金财富(代客),158,42,光大期货(代客),232,26,国投期货(代客),371,19
20251210,IC2601,16,广发期货(代客),145,-1,银河期货(代客),210,63,宝城期货(代客),343,78
20251210,IC2601,17,中信建投(代客),145,75,大地期货(代客),206,6,海证期货(代客),328,87
20251210,IC2601,18,宝城期货(代客),135,11,国富期货(代客),205,2,中信建投(代客),310,21
