交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20251226,IM2601,1,中信期货(代客),21104,5010,国泰君安(代客),15652,430,中信期货(代客),21040,965
20251226,IM2601,2,国泰君安(代客),19106,3413,中信期货(代客),14465,929,国泰君安(代客),11395,504
20251226,IM2601,3,海通期货(代客),8130,1121,海通期货(代客),4799,353,海通期货(代客),5227,455
20251226,IM2601,4,东证期货(代客),4929,235,一德期货(代客),3898,-376,华泰期货(代客),4737,-309
20251226,IM2601,5,国信期货(代客),4725,358,摩根大通(代客),3154,13,东证期货(代客),4315,79
20251226,IM2601,6,中泰期货(代客),3137,536,东证期货(代客),2941,124,光大期货(代客),2687,115
20251226,IM2601,7,华泰期货(代客),2881,1279,广发期货(代客),2814,581,广发期货(代客),2529,470
20251226,IM2601,8,华闻期货(代客),2723,682,申银万国(代客),2719,-63,银河期货(代客),2430,-154
20251226,IM2601,9,光大期货(代客),2376,381,华泰期货(代客),2523,-92,瑞银期货(代客),2343,84
20251226,IM2601,10,广发期货(代客),2287,730,宝城期货(代客),2120,63,国信期货(代客),2161,-74
20251226,IM2601,11,银河期货(代客),1921,204,中信建投(代客),1969,-134,中泰期货(代客),1975,474
20251226,IM2601,12,申银万国(代客),1810,-231,银河期货(代客),1762,-27,申银万国(代客),1970,-43
20251226,IM2601,13,招商期货(代客),1611,-220,浙商期货(代客),1692,111,国投期货(代客),1786,-164
20251226,IM2601,14,南华期货(代客),1594,940,国信期货(代客),1599,-247,永安期货(代客),1778,-113
20251226,IM2601,15,中信建投(代客),1518,248,招商期货(代客),1566,51,中金期货(代客),1775,327
20251226,IM2601,16,瑞达期货(代客),1498,184,国投期货(代客),1561,-40,中银期货(代客),1549,-137
20251226,IM2601,17,国投期货(代客),1478,212,中泰期货(代客),1485,379,招商期货(代客),1523,-94
20251226,IM2601,18,永安期货(代客),1456,114,永安期货(代客),1292,-3,兴业期货(代客),1374,-16
20251226,IM2601,19,兴证期货(代客),910,59,方正中期(代客),1216,-117,华闻期货(代客),1041,-20
20251226,IM2601,20,中金财富(代客),846,339,光大期货(代客),1144,-53,中信建投(代客),995,90
20251226,IM2602,1,中信期货(代客),3349,756,国泰君安(代客),2022,668,中信期货(代客),3568,749
20251226,IM2602,2,东证期货(代客),2524,256,中信期货(代客),1671,706,东证期货(代客),2093,639
20251226,IM2602,3,海通期货(代客),2256,365,海通期货(代客),1556,670,海通期货(代客),1200,792
20251226,IM2602,4,国泰君安(代客),2111,550,一德期货(代客),884,376,国泰君安(代客),1025,429
20251226,IM2602,5,国投期货(代客),559,419,西南期货(代客),810,223,国投期货(代客),929,325
20251226,IM2602,6,华闻期货(代客),449,233,东证期货(代客),775,217,摩根大通(代客),469,277
20251226,IM2602,7,一德期货(代客),379,-128,申银万国(代客),371,79,华泰期货(代客),311,68
20251226,IM2602,8,光大期货(代客),369,198,国投期货(代客),347,134,银河期货(代客),277,123
20251226,IM2602,9,国信期货(代客),313,9,福能期货(代客),282,77,国信期货(代客),258,79
20251226,IM2602,10,华泰期货(代客),281,124,光大期货(代客),267,91,申银万国(代客),252,52
20251226,IM2602,11,摩根大通(代客),277,277,国信期货(代客),232,44,大越期货(代客),214,0
20251226,IM2602,12,银河期货(代客),264,158,大越期货(代客),214,0,华闻期货(代客),203,138
20251226,IM2602,13,广发期货(代客),228,91,华闻期货(代客),210,111,宝城期货(代客),177,14
20251226,IM2602,14,西南期货(代客),223,-224,中信建投(代客),200,57,永安期货(代客),170,86
20251226,IM2602,15,中泰期货(代客),187,-5,宏源期货(代客),196,27,瑞银期货(代客),145,56
20251226,IM2602,16,申银万国(代客),175,128,银河期货(代客),192,85,广发期货(代客),136,81
20251226,IM2602,17,中信建投(代客),133,56,方正中期(代客),180,-1,招商期货(代客),119,12
20251226,IM2602,18,永安期货(代客),120,53,华泰期货(代客),158,39,中金期货(代客),117,0
20251226,IM2602,19,福能期货(代客),119,19,平安期货(代客),142,2,国金期货(代客),102,-8
20251226,IM2602,20,建信期货(代客),99,46,建信期货(代客),112,61,中泰期货(代客),95,10
20251226,IM2603,1,中信期货(代客),42776,8835,国泰君安(代客),27944,1767,中信期货(代客),36255,3187
20251226,IM2603,2,国泰君安(代客),35271,8448,中信期货(代客),23914,3767,国泰君安(代客),29353,2942
