交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260114,IM2601,1,中信期货(代客),27946,2854,中信期货(代客),10402,479,中信期货(代客),9819,-1117
20260114,IM2601,2,国泰君安(代客),21429,351,国泰君安(代客),7425,-2228,国泰君安(代客),6853,-1339
20260114,IM2601,3,海通期货(代客),10876,1135,海通期货(代客),2838,1060,海通期货(代客),3799,988
20260114,IM2601,4,中泰期货(代客),6369,1356,广发期货(代客),2018,44,光大期货(代客),2293,-255
20260114,IM2601,5,东证期货(代客),5595,-307,东证期货(代客),1772,-87,东证期货(代客),2150,-212
20260114,IM2601,6,国信期货(代客),5434,570,华泰期货(代客),1682,103,华泰期货(代客),1619,211
20260114,IM2601,7,华闻期货(代客),3617,326,中泰期货(代客),1421,-234,中泰期货(代客),1347,-303
20260114,IM2601,8,华泰期货(代客),3370,943,中信建投(代客),1328,166,中金期货(代客),1298,-521
20260114,IM2601,9,广发期货(代客),3040,175,国信期货(代客),1141,-317,国信期货(代客),1246,-303
20260114,IM2601,10,银河期货(代客),2777,235,申银万国(代客),1040,-88,瑞银期货(代客),1110,-241
20260114,IM2601,11,光大期货(代客),2339,-179,招商期货(代客),946,-64,广发期货(代客),1005,82
20260114,IM2601,12,申银万国(代客),2180,-421,摩根大通(代客),944,-836,银河期货(代客),991,-537
20260114,IM2601,13,国投期货(代客),1987,394,银河期货(代客),857,-380,中信建投(代客),978,26
20260114,IM2601,14,招商期货(代客),1771,325,国投期货(代客),844,-202,申银万国(代客),888,-144
20260114,IM2601,15,瑞达期货(代客),1684,-220,华闻期货(代客),699,-251,国投期货(代客),851,-81
20260114,IM2601,16,中信建投(代客),1618,316,光大期货(代客),682,-210,华闻期货(代客),844,-188
20260114,IM2601,17,摩根大通(代客),1599,444,浙商期货(代客),618,-142,永安期货(代客),645,-184
20260114,IM2601,18,永安期货(代客),1512,421,永安期货(代客),544,-182,国富期货(代客),645,34
20260114,IM2601,19,兴证期货(代客),1133,230,宝城期货(代客),527,-65,招商期货(代客),609,-113
20260114,IM2601,20,宝城期货(代客),1126,127,中银期货(代客),503,408,宝城期货(代客),569,-69
20260114,IM2602,1,中信期货(代客),12874,4013,国泰君安(代客),9059,2167,中信期货(代客),14460,2373
20260114,IM2602,2,国泰君安(代客),9322,2989,中信期货(代客),5556,1841,国泰君安(代客),4577,1441
20260114,IM2602,3,海通期货(代客),6605,1262,海通期货(代客),2954,339,海通期货(代客),3415,382
20260114,IM2602,4,东证期货(代客),5227,1009,东证期货(代客),2642,528,东证期货(代客),3107,419
20260114,IM2602,5,华泰期货(代客),2271,1382,光大期货(代客),1892,320,华泰期货(代客),3092,959
20260114,IM2602,6,国信期货(代客),2073,950,广发期货(代客),1588,583,中金期货(代客),2478,686
20260114,IM2602,7,华闻期货(代客),1989,840,宝城期货(代客),1576,55,中银期货(代客),1559,-1
20260114,IM2602,8,广发期货(代客),1927,867,银河期货(代客),1464,558,国信期货(代客),1278,589
20260114,IM2602,9,银河期货(代客),1718,1182,浙商期货(代客),1421,59,光大期货(代客),1250,448
20260114,IM2602,10,永安期货(代客),1601,1062,一德期货(代客),1291,1,国投期货(代客),1228,92
20260114,IM2602,11,光大期货(代客),1348,357,华泰期货(代客),1204,302,招商期货(代客),1105,260
20260114,IM2602,12,国投期货(代客),1133,448,申银万国(代客),1085,119,瑞银期货(代客),1051,279
20260114,IM2602,13,东兴期货(代客),1043,424,永安期货(代客),975,187,兴业期货(代客),973,182
20260114,IM2602,14,中泰期货(代客),1040,187,国信期货(代客),904,436,银河期货(代客),909,440
20260114,IM2602,15,中银期货(代客),958,946,南华期货(代客),886,209,广发期货(代客),868,530
20260114,IM2602,16,南华期货(代客),918,154,国联期货(代客),835,52,永安期货(代客),802,164
20260114,IM2602,17,国海良时(代客),864,359,华闻期货(代客),775,349,申银万国(代客),778,44
20260114,IM2602,18,招商期货(代客),805,279,国海良时(代客),738,5,中泰期货(代客),708,98
20260114,IM2602,19,申银万国(代客),743,214,兴证期货(代客),700,291,华闻期货(代客),707,278
20260114,IM2602,20,中金期货(代客),738,490,中信建投(代客),696,134,中金财富(代客),576,140
20260114,IM2603,1,中信期货(代客),68424,8432,国泰君安(代客),30805,768,中信期货(代客),38282,330
20260114,IM2603,2,国泰君安(代客),61869,7904,中信期货(代客),25315,136,国泰君安(代客),30889,-1191
20260114,IM2603,3,中泰期货(代客),24649,5824,海通期货(代客),12346,527,华泰期货(代客),15981,1155
20260114,IM2603,4,东证期货(代客),20248,3920,东证期货(代客),9435,810,海通期货(代客),8729,741
20260114,IM2603,5,海通期货(代客),17974,1687,银河期货(代客),5916,245,东证期货(代客),7003,462
20260114,IM2603,6,国信期货(代客),13759,3589,广发期货(代客),5803,640,国投期货(代客),6482,772
20260114,IM2603,7,华闻期货(代客),12208,2510,一德期货(代客),5735,-80,广发期货(代客),6140,246
20260114,IM2603,8,华泰期货(代客),11642,3443,华泰期货(代客),5664,-293,银河期货(代客),6132,417
20260114,IM2603,9,银河期货(代客),9568,2163,中泰期货(代客),4895,537,国信期货(代客),6037,-250
20260114,IM2603,10,广发期货(代客),9460,2486,永安期货(代客),4280,-212,中信建投(代客),4834,-644
20260114,IM2603,11,创元期货(代客),9233,4869,国信期货(代客),3694,195,中泰期货(代客),4794,72
20260114,IM2603,12,中信建投(代客),8429,2173,宝城期货(代客),3534,-166,华闻期货(代客),4121,240
20260114,IM2603,13,东吴期货(代客),7085,2686,浙商期货(代客),3489,45,中金财富(代客),3877,42
20260114,IM2603,14,申银万国(代客),6673,2584,光大期货(代客),3361,-233,光大期货(代客),3829,107
20260114,IM2603,15,光大期货(代客),6050,754,大地期货(代客),3273,273,永安期货(代客),3537,47
20260114,IM2603,16,兴证期货(代客),5538,1464,华闻期货(代客),3146,206,平安期货(代客),3233,41
20260114,IM2603,17,南华期货(代客),5519,25,国投期货(代客),3003,148,国富期货(代客),3022,128
20260114,IM2603,18,方正中期(代客),5461,918,申银万国(代客),2923,-1406,瑞银期货(代客),2947,263
20260114,IM2603,19,瑞达期货(代客),5221,667,中信建投(代客),2747,205,招商期货(代客),2445,-137
20260114,IM2603,20,东方财富(代客),4887,1303,宏源期货(代客),2721,224,中银期货(代客),2322,123
20260114,IM2606,1,中信期货(代客),19461,3310,国泰君安(代客),15340,-387,中信期货(代客),17728,993
20260114,IM2606,2,国泰君安(代客),13048,372,中信期货(代客),9371,250,国泰君安(代客),10481,-341
20260114,IM2606,3,海通期货(代客),6909,529,海通期货(代客),4516,-146,瑞银期货(代客),7806,225
20260114,IM2606,4,华闻期货(代客),6252,1705,银河期货(代客),4047,516,海通期货(代客),7687,225
20260114,IM2606,5,东证期货(代客),4650,259,东证期货(代客),3974,297,华泰期货(代客),7287,135
20260114,IM2606,6,国信期货(代客),3185,853,宝城期货(代客),3220,83,国投期货(代客),6053,256
20260114,IM2606,7,中泰期货(代客),2861,523,一德期货(代客),3205,76,广发期货(代客),5424,178
20260114,IM2606,8,华泰期货(代客),2200,344,华泰期货(代客),2868,49,摩根大通(代客),5132,-28
20260114,IM2606,9,银河期货(代客),2182,229,广发期货(代客),2314,140,国信期货(代客),2896,126
20260114,IM2606,10,平安期货(代客),1902,623,南华期货(代客),2197,438,银河期货(代客),2794,116
20260114,IM2606,11,中信建投(代客),1786,840,光大期货(代客),2110,40,申银万国(代客),2705,-58
20260114,IM2606,12,方正中期(代客),1673,-131,申银万国(代客),1717,-63,东证期货(代客),2020,-69
20260114,IM2606,13,招商期货(代客),1598,476,招商期货(代客),1710,164,招商期货(代客),1925,428
20260114,IM2606,14,广发期货(代客),1468,-179,大地期货(代客),1683,-69,光大期货(代客),1836,-1
20260114,IM2606,15,国投期货(代客),1399,356,国信期货(代客),1667,165,华闻期货(代客),1809,-413
20260114,IM2606,16,南华期货(代客),1345,167,永安期货(代客),1624,51,中信建投(代客),1611,399
20260114,IM2606,17,光大期货(代客),1193,64,方正中期(代客),1624,215,永安期货(代客),1127,-55
20260114,IM2606,18,申银万国(代客),1193,-32,浙商期货(代客),1556,74,中泰期货(代客),1086,92
20260114,IM2606,19,瑞达期货(代客),1156,-50,金瑞期货(代客),1490,21,国海良时(代客),972,55
20260114,IM2606,20,浙商期货(代客),1118,334,中信建投(代客),1429,17,平安期货(代客),965,-92
