交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20251009,IH2510,1,中信期货(代客),5898,1104,国泰君安(代客),3500,251,中信期货(代客),4690,-252
20251009,IH2510,2,国泰君安(代客),5321,862,中信期货(代客),3481,14,国泰君安(代客),2724,-124
20251009,IH2510,3,海通期货(代客),3761,515,海通期货(代客),1586,-13,中银期货(代客),2262,17
20251009,IH2510,4,国信期货(代客),2369,668,光大期货(代客),1543,-336,海通期货(代客),1520,490
20251009,IH2510,5,东证期货(代客),1401,106,国信期货(代客),945,212,银河期货(代客),1198,180
20251009,IH2510,6,光大期货(代客),1317,564,华泰期货(代客),802,110,国信期货(代客),901,185
20251009,IH2510,7,国投期货(代客),1242,106,东证期货(代客),712,137,瑞银期货(代客),769,0
20251009,IH2510,8,华泰期货(代客),1188,43,广发期货(代客),561,22,东证期货(代客),712,182
20251009,IH2510,9,银河期货(代客),930,98,永安期货(代客),412,-19,国投期货(代客),699,17
20251009,IH2510,10,广发期货(代客),807,104,国投期货(代客),393,5,华泰期货(代客),391,-472
20251009,IH2510,11,华闻期货(代客),791,75,中泰期货(代客),381,29,光大期货(代客),377,-33
20251009,IH2510,12,中银期货(代客),738,626,银河期货(代客),378,8,广发期货(代客),349,-149
20251009,IH2510,13,永安期货(代客),355,145,华闻期货(代客),330,51,平安期货(代客),289,34
20251009,IH2510,14,招商期货(代客),350,-10,南华期货(代客),311,27,永安期货(代客),272,90
20251009,IH2510,15,金元期货(代客),341,170,平安期货(代客),306,13,华闻期货(代客),243,42
20251009,IH2510,16,中泰期货(代客),316,-4,兴证期货(代客),257,9,中信建投(代客),239,-10
20251009,IH2510,17,新世纪(代客),294,-143,招商期货(代客),256,79,上海中期(代客),214,17
20251009,IH2510,18,平安期货(代客),289,-71,中金财富(代客),234,-69,中泰期货(代客),210,41
20251009,IH2510,19,兴证期货(代客),270,43,东吴期货(代客),231,35,招商期货(代客),186,71
20251009,IH2510,20,海证期货(代客),245,189,创元期货(代客),197,55,宝城期货(代客),179,-3
