交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20250731,IF2508,1,国泰君安(代客),12417,1052,国泰君安(代客),7459,-1130,中信期货(代客),11532,-1314
20250731,IF2508,2,中信期货(代客),11944,220,中信期货(代客),6157,-836,国泰君安(代客),5840,-815
20250731,IF2508,3,东证期货(代客),5390,285,光大期货(代客),3400,374,东证期货(代客),3027,17
20250731,IF2508,4,海通期货(代客),5243,846,东证期货(代客),2897,309,国信期货(代客),1658,405
20250731,IF2508,5,国信期货(代客),3596,408,海通期货(代客),2676,-128,海通期货(代客),1531,-399
20250731,IF2508,6,华闻期货(代客),3156,421,广发期货(代客),2276,186,银河期货(代客),1451,50
20250731,IF2508,7,中信建投(代客),2772,133,华泰期货(代客),1850,102,中银期货(代客),1394,106
20250731,IF2508,8,广发期货(代客),2615,393,国信期货(代客),1327,75,广发期货(代客),1279,387
20250731,IF2508,9,永安期货(代客),1837,423,华闻期货(代客),1219,289,永安期货(代客),1179,148
20250731,IF2508,10,光大期货(代客),1561,380,浙商期货(代客),1092,209,华闻期货(代客),1084,335
20250731,IF2508,11,银河期货(代客),1501,-113,中信建投(代客),1049,-430,招商期货(代客),982,-148
20250731,IF2508,12,招商期货(代客),1461,141,银河期货(代客),905,41,中泰期货(代客),925,-80
20250731,IF2508,13,华泰期货(代客),1403,311,国投期货(代客),864,84,华泰期货(代客),825,-71
20250731,IF2508,14,中泰期货(代客),1335,100,申银万国(代客),860,125,中金财富(代客),791,285
20250731,IF2508,15,瑞达期货(代客),1111,141,永安期货(代客),744,123,中信建投(代客),591,-852
20250731,IF2508,16,兴证期货(代客),1049,326,中泰期货(代客),576,45,平安期货(代客),581,17
20250731,IF2508,17,中金财富(代客),981,310,中金财富(代客),521,-32,南华期货(代客),507,85
20250731,IF2508,18,国投期货(代客),820,214,兴证期货(代客),441,-132,申银万国(代客),491,-15
20250731,IF2508,19,五矿期货(代客),801,21,南华期货(代客),386,95,瑞达期货(代客),482,-10
20250731,IF2508,20,南华期货(代客),748,245,五矿期货(代客),332,-55,金元期货(代客),440,-81
20250731,IF2509,1,中信期货(代客),28049,1644,国泰君安(代客),28070,-136,中信期货(代客),28909,-1925
20250731,IF2509,2,国泰君安(代客),23708,3427,中信期货(代客),14983,-1956,国泰君安(代客),19172,-242
20250731,IF2509,3,海通期货(代客),12166,2375,海通期货(代客),11398,1045,华泰期货(代客),7844,309
20250731,IF2509,4,东证期货(代客),10029,529,东证期货(代客),7396,-216,国投期货(代客),7811,-1026
20250731,IF2509,5,国信期货(代客),8308,1410,国投期货(代客),5379,-727,东证期货(代客),6690,-333
20250731,IF2509,6,华闻期货(代客),5503,281,华泰期货(代客),4792,79,瑞银期货(代客),5986,-17
20250731,IF2509,7,银河期货(代客),4750,695,南华期货(代客),4267,-18,海通期货(代客),5809,87
20250731,IF2509,8,华泰期货(代客),4728,1283,永安期货(代客),4057,-824,广发期货(代客),5549,-737
20250731,IF2509,9,广发期货(代客),4553,1033,广发期货(代客),3936,-58,招商期货(代客),5485,40
20250731,IF2509,10,中泰期货(代客),4341,-669,银河期货(代客),3759,-258,国信期货(代客),4464,240
20250731,IF2509,11,国投期货(代客),3979,297,国信期货(代客),3149,-110,中信建投(代客),4350,-149
20250731,IF2509,12,瑞达期货(代客),3312,835,申银万国(代客),2581,-297,银河期货(代客),3470,-126
20250731,IF2509,13,招商期货(代客),3274,594,大越期货(代客),2444,64,中泰期货(代客),3213,-61
20250731,IF2509,14,南华期货(代客),3209,351,光大期货(代客),2428,-292,申银万国(代客),3081,-4
20250731,IF2509,15,中信建投(代客),3082,18,招商期货(代客),2395,-364,摩根大通(代客),2635,-206
20250731,IF2509,16,永安期货(代客),2748,185,浙商期货(代客),2289,-86,光大期货(代客),2381,-177
20250731,IF2509,17,光大期货(代客),2579,482,中信建投(代客),2277,-275,中金财富(代客),2334,33
20250731,IF2509,18,浙商期货(代客),2408,-256,兴证期货(代客),2148,-219,中金期货(代客),2305,495
20250731,IF2509,19,兴证期货(代客),2397,746,中泰期货(代客),2063,-18,永安期货(代客),2278,-22
20250731,IF2509,20,五矿期货(代客),2177,301,华闻期货(代客),1879,-29,方正中期(代客),2259,-84
20250731,IF2512,1,国泰君安(代客),5952,2123,国泰君安(代客),8933,198,海通期货(代客),8431,57
20250731,IF2512,2,中信期货(代客),5512,1336,中信期货(代客),5950,617,中信期货(代客),7334,327
20250731,IF2512,3,海通期货(代客),3963,580,海通期货(代客),3946,138,国泰君安(代客),7013,370
20250731,IF2512,4,东证期货(代客),3225,797,广发期货(代客),2479,-234,华泰期货(代客),5388,97
20250731,IF2512,5,国信期货(代客),2467,431,东证期货(代客),2425,-6,瑞银期货(代客),4282,1368
20250731,IF2512,6,华闻期货(代客),1706,41,国投期货(代客),1987,372,东证期货(代客),2319,-21
20250731,IF2512,7,瑞银期货(代客),1447,1436,银河期货(代客),1839,-84,招商期货(代客),2096,147
20250731,IF2512,8,广发期货(代客),865,316,申银万国(代客),1662,39,国信期货(代客),1810,-8
20250731,IF2512,9,五矿期货(代客),858,203,中银期货(代客),1655,274,摩根大通(代客),1481,28
20250731,IF2512,10,招商期货(代客),836,168,华泰期货(代客),1582,-71,申银万国(代客),1360,32
20250731,IF2512,11,银河期货(代客),813,90,国信期货(代客),1314,289,中泰期货(代客),1326,42
20250731,IF2512,12,华泰期货(代客),804,294,中信建投(代客),1158,38,广发期货(代客),1093,-83
20250731,IF2512,13,国投期货(代客),678,543,永安期货(代客),1146,81,中金财富(代客),1010,95
20250731,IF2512,14,宝城期货(代客),582,344,宝城期货(代客),968,337,华闻期货(代客),939,298
20250731,IF2512,15,中泰期货(代客),530,113,招商期货(代客),928,-55,永安期货(代客),832,-22
20250731,IF2512,16,南华期货(代客),517,196,东吴期货(代客),893,-72,银河期货(代客),770,-23
20250731,IF2512,17,建信期货(代客),481,295,平安期货(代客),808,11,光大期货(代客),721,7
20250731,IF2512,18,永安期货(代客),427,35,华闻期货(代客),796,284,国投期货(代客),715,22
20250731,IF2512,19,光大期货(代客),414,183,五矿期货(代客),769,178,建信期货(代客),582,-49
20250731,IF2512,20,浙商期货(代客),408,35,南华期货(代客),756,-2,中信建投(代客),557,-3
20250731,IF2603,1,中信期货(代客),1739,232,中信期货(代客),1537,148,华泰期货(代客),2091,236
20250731,IF2603,2,东证期货(代客),1669,92,国泰君安(代客),1021,-271,海通期货(代客),2015,267
20250731,IF2603,3,国泰君安(代客),1477,308,银河期货(代客),690,10,东证期货(代客),1479,-164
20250731,IF2603,4,海通期货(代客),1290,80,东证期货(代客),612,-173,瑞银期货(代客),1394,-9
20250731,IF2603,5,国信期货(代客),565,20,平安期货(代客),533,40,中信期货(代客),1140,121
20250731,IF2603,6,华泰期货(代客),411,223,海通期货(代客),530,77,国泰君安(代客),434,-56
20250731,IF2603,7,广发期货(代客),233,-7,广发期货(代客),529,50,东方财富(代客),353,1
20250731,IF2603,8,浙商期货(代客),228,119,国信期货(代客),324,-116,招商期货(代客),263,7
20250731,IF2603,9,东海期货(代客),222,179,中银期货(代客),248,155,中银期货(代客),259,-1
20250731,IF2603,10,招商期货(代客),171,-90,东海期货(代客),226,205,广发期货(代客),192,37
20250731,IF2603,11,平安期货(代客),165,85,永安期货(代客),219,25,国信期货(代客),177,5
20250731,IF2603,12,中银期货(代客),160,31,光大期货(代客),217,33,中泰期货(代客),87,29
20250731,IF2603,13,兴证期货(代客),144,34,招商期货(代客),217,-20,国投期货(代客),86,9
20250731,IF2603,14,中泰期货(代客),128,-12,申银万国(代客),211,26,瑞达期货(代客),85,1
20250731,IF2603,15,申银万国(代客),116,62,中信建投(代客),205,2,五矿期货(代客),66,6
20250731,IF2603,16,银河期货(代客),112,-60,华泰期货(代客),191,45,南华期货(代客),56,0
20250731,IF2603,17,国投期货(代客),98,23,南华期货(代客),176,-7,浙商期货(代客),56,31
20250731,IF2603,18,光大期货(代客),94,54,东吴期货(代客),164,-24,银河期货(代客),53,-4
