交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20250704,IC2507,1,中信期货(代客),17118,6888,国泰君安(代客),10214,1023,中信期货(代客),20054,1110
20250704,IC2507,2,国泰君安(代客),15915,4929,中信期货(代客),9419,1692,国泰君安(代客),10337,1306
20250704,IC2507,3,海通期货(代客),5907,2045,海通期货(代客),8427,526,东证期货(代客),4652,443
20250704,IC2507,4,东证期货(代客),4422,1624,东证期货(代客),4485,779,华泰期货(代客),2923,5
20250704,IC2507,5,国信期货(代客),3548,506,摩根大通(代客),2910,151,海通期货(代客),2495,583
20250704,IC2507,6,中泰期货(代客),2178,859,永安期货(代客),2385,-10,银河期货(代客),2229,108
20250704,IC2507,7,华闻期货(代客),2114,1002,瑞银期货(代客),2362,174,山金期货(代客),1961,-127
20250704,IC2507,8,银河期货(代客),1938,833,国信期货(代客),2256,130,国信期货(代客),1661,-36
20250704,IC2507,9,华泰期货(代客),1852,391,华泰期货(代客),1946,-177,中泰期货(代客),1499,129
20250704,IC2507,10,光大期货(代客),1778,626,中信建投(代客),1808,-10,招商期货(代客),1450,23
20250704,IC2507,11,广发期货(代客),1529,532,银河期货(代客),1798,188,宝城期货(代客),1427,-2
20250704,IC2507,12,招商期货(代客),1250,264,国投期货(代客),1690,-78,中金财富(代客),1349,15
20250704,IC2507,13,国联期货(代客),1244,774,申银万国(代客),1515,210,光大期货(代客),1301,186
20250704,IC2507,14,兴证期货(代客),1166,348,中泰期货(代客),1472,-27,海证期货(代客),1257,-30
20250704,IC2507,15,永安期货(代客),1153,603,广发期货(代客),1374,233,方正中期(代客),1238,-18
20250704,IC2507,16,瑞达期货(代客),1132,330,南华期货(代客),1348,-135,永安期货(代客),1200,177
20250704,IC2507,17,中信建投(代客),987,326,招商期货(代客),1348,39,中金期货(代客),1153,300
20250704,IC2507,18,宏源期货(代客),850,198,兴证期货(代客),1162,75,广发期货(代客),1097,316
20250704,IC2507,19,平安期货(代客),810,305,光大期货(代客),1115,-44,国投期货(代客),1091,64
20250704,IC2507,20,中金财富(代客),787,494,中金财富(代客),1096,64,申银万国(代客),929,1
20250704,IC2509,1,国泰君安(代客),13138,3485,中信期货(代客),16148,1443,中信期货(代客),16624,1264
20250704,IC2509,2,中信期货(代客),12259,4438,国泰君安(代客),12250,832,国泰君安(代客),13700,1074
20250704,IC2509,3,海通期货(代客),5881,1990,海通期货(代客),8883,1033,海通期货(代客),6055,440
20250704,IC2509,4,东证期货(代客),5337,1334,东证期货(代客),5616,462,国投期货(代客),4596,24
20250704,IC2509,5,中泰期货(代客),3661,1589,华泰期货(代客),3601,173,华泰期货(代客),4457,210
20250704,IC2509,6,华闻期货(代客),2585,978,银河期货(代客),3333,128,瑞银期货(代客),4156,-3
20250704,IC2509,7,国信期货(代客),2394,917,中泰期货(代客),3197,387,东证期货(代客),3851,667
20250704,IC2509,8,华泰期货(代客),1725,11,中信建投(代客),2634,-3,银河期货(代客),2966,156
20250704,IC2509,9,银河期货(代客),1546,498,国投期货(代客),2026,21,国信期货(代客),2883,218
20250704,IC2509,10,瑞达期货(代客),1468,343,广发期货(代客),1803,27,中金财富(代客),2612,249
20250704,IC2509,11,广发期货(代客),1372,360,南华期货(代客),1631,168,招商期货(代客),2489,61
20250704,IC2509,12,招商期货(代客),1329,619,永安期货(代客),1603,92,山金期货(代客),2065,22
20250704,IC2509,13,兴证期货(代客),1057,453,申银万国(代客),1517,49,海证期货(代客),1772,69
20250704,IC2509,14,南华期货(代客),1049,614,国信期货(代客),1444,182,中泰期货(代客),1628,394
20250704,IC2509,15,光大期货(代客),915,321,招商期货(代客),1364,132,广发期货(代客),1579,51
20250704,IC2509,16,浙商期货(代客),915,205,兴证期货(代客),1346,107,中信建投(代客),1549,6
20250704,IC2509,17,永安期货(代客),914,392,浙商期货(代客),1199,57,光大期货(代客),1426,19
20250704,IC2509,18,东吴期货(代客),896,451,华闻期货(代客),1085,147,平安期货(代客),1395,17
20250704,IC2509,19,宏源期货(代客),873,397,东吴期货(代客),1033,92,宝城期货(代客),1327,-1
20250704,IC2509,20,五矿期货(代客),838,378,国联期货(代客),1029,-42,华闻期货(代客),1294,166
20250704,IC2512,1,中信期货(代客),4850,1098,中信期货(代客),11493,139,海通期货(代客),8361,469
20250704,IC2512,2,国泰君安(代客),3730,579,国泰君安(代客),10802,835,华泰期货(代客),7466,-35
20250704,IC2512,3,海通期货(代客),2917,943,国投期货(代客),6374,-142,国泰君安(代客),5233,385
20250704,IC2512,4,东证期货(代客),1721,375,海通期货(代客),2758,206,中信期货(代客),5038,189
20250704,IC2512,5,国信期货(代客),612,237,东证期货(代客),2063,162,国投期货(代客),4104,22
20250704,IC2512,6,华闻期货(代客),558,142,华泰期货(代客),1709,-6,摩根大通(代客),4067,0
20250704,IC2512,7,华泰期货(代客),465,-8,申银万国(代客),1248,28,东证期货(代客),2572,179
20250704,IC2512,8,瑞达期货(代客),393,43,国富期货(代客),1089,14,中信建投(代客),1845,5
20250704,IC2512,9,中泰期货(代客),392,98,银河期货(代客),1005,44,国信期货(代客),1752,155
20250704,IC2512,10,银河期货(代客),387,209,浙商期货(代客),911,-10,招商期货(代客),1602,-16
20250704,IC2512,11,南华期货(代客),379,196,兴证期货(代客),839,14,永安期货(代客),1066,9
20250704,IC2512,12,中金财富(代客),378,52,中泰期货(代客),801,29,平安期货(代客),994,48
20250704,IC2512,13,国投期货(代客),368,108,方正中期(代客),712,3,银河期货(代客),949,49
20250704,IC2512,14,广发期货(代客),361,24,永安期货(代客),711,2,申银万国(代客),831,8
20250704,IC2512,15,兴证期货(代客),263,96,国信期货(代客),686,53,中金财富(代客),814,-144
20250704,IC2512,16,五矿期货(代客),231,26,平安期货(代客),670,4,兴业期货(代客),643,1
20250704,IC2512,17,招商期货(代客),212,-123,光大期货(代客),593,-21,瑞银期货(代客),552,0
20250704,IC2512,18,正信期货(代客),200,53,中银期货(代客),586,-1,东方财富(代客),496,3
20250704,IC2512,19,申银万国(代客),146,65,长江期货(代客),579,2,兴证期货(代客),449,17
20250704,IC2512,20,建信期货(代客),145,69,广发期货(代客),571,36,广发期货(代客),442,-25
