交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20250715,IC2507,1,中信期货(代客),15959,4886,国泰君安(代客),7193,306,中信期货(代客),10916,-938
20250715,IC2507,2,国泰君安(代客),14537,3271,中信期货(代客),7094,-23,国泰君安(代客),7008,273
20250715,IC2507,3,海通期货(代客),5489,1511,海通期货(代客),3685,-1204,东证期货(代客),3452,-213
20250715,IC2507,4,东证期货(代客),4156,1462,东证期货(代客),2640,-921,华泰期货(代客),2175,-288
20250715,IC2507,5,国信期货(代客),3102,907,瑞银期货(代客),1885,-78,银河期货(代客),1784,-156
20250715,IC2507,6,广发期货(代客),2396,1400,华泰期货(代客),1653,-11,海通期货(代客),1597,31
20250715,IC2507,7,华泰期货(代客),2049,785,永安期货(代客),1534,-318,国信期货(代客),1453,-151
20250715,IC2507,8,中泰期货(代客),1862,764,中信建投(代客),1275,-241,中泰期货(代客),1068,-36
20250715,IC2507,9,银河期货(代客),1577,513,国投期货(代客),1275,-86,招商期货(代客),1035,-104
20250715,IC2507,10,华闻期货(代客),1498,369,国信期货(代客),1161,-379,中银期货(代客),978,10
20250715,IC2507,11,招商期货(代客),1293,228,银河期货(代客),1145,-73,广发期货(代客),938,-234
20250715,IC2507,12,中金期货(代客),1175,624,招商期货(代客),1115,-121,光大期货(代客),877,-17
20250715,IC2507,13,光大期货(代客),1141,303,中泰期货(代客),1096,48,永安期货(代客),870,-145
20250715,IC2507,14,瑞达期货(代客),1076,294,申银万国(代客),1066,-218,方正中期(代客),773,-189
20250715,IC2507,15,中信建投(代客),987,375,广发期货(代客),924,-32,中金期货(代客),766,-1009
20250715,IC2507,16,永安期货(代客),933,84,光大期货(代客),922,-60,中信建投(代客),690,-72
20250715,IC2507,17,兴证期货(代客),820,82,摩根大通(代客),894,211,华闻期货(代客),664,-9
20250715,IC2507,18,申银万国(代客),812,216,中金财富(代客),701,-13,国投期货(代客),620,-204
20250715,IC2507,19,南华期货(代客),741,135,兴证期货(代客),665,-19,宝城期货(代客),587,-595
20250715,IC2507,20,宝城期货(代客),740,425,南华期货(代客),627,-274,瑞达期货(代客),448,66
20250715,IC2508,1,中信期货(代客),5450,2295,海通期货(代客),4461,818,中信期货(代客),9389,1984
20250715,IC2508,2,海通期货(代客),3065,-105,中信期货(代客),3236,636,国泰君安(代客),3052,631
20250715,IC2508,3,国泰君安(代客),2783,117,国泰君安(代客),2923,566,山金期货(代客),1821,225
20250715,IC2508,4,东证期货(代客),2332,819,摩根大通(代客),1933,134,中金财富(代客),1101,116
20250715,IC2508,5,国信期货(代客),1100,560,东证期货(代客),1852,453,海证期货(代客),895,115
20250715,IC2508,6,银河期货(代客),542,108,银河期货(代客),986,176,宝城期货(代客),875,129
20250715,IC2508,7,华泰期货(代客),537,79,国信期货(代客),771,47,华泰期货(代客),874,270
20250715,IC2508,8,永安期货(代客),461,252,恒泰期货(代客),669,25,海通期货(代客),824,-77
20250715,IC2508,9,广发期货(代客),446,225,广发期货(代客),609,37,国信期货(代客),644,161
20250715,IC2508,10,华闻期货(代客),443,172,方正中期(代客),601,-18,东证期货(代客),607,-101
20250715,IC2508,11,国投期货(代客),423,173,国投期货(代客),539,272,恒泰期货(代客),591,2
20250715,IC2508,12,五矿期货(代客),385,70,南华期货(代客),500,62,中银期货(代客),550,31
20250715,IC2508,13,海证期货(代客),326,127,永安期货(代客),500,154,国投期货(代客),439,81
20250715,IC2508,14,中泰期货(代客),324,73,华泰期货(代客),500,71,广发期货(代客),427,41
20250715,IC2508,15,南华期货(代客),296,94,中泰期货(代客),382,21,银河期货(代客),398,90
20250715,IC2508,16,招商期货(代客),274,25,兴证期货(代客),358,87,招商期货(代客),390,65
20250715,IC2508,17,东兴期货(代客),264,102,宏源期货(代客),356,43,申银万国(代客),307,18
20250715,IC2508,18,兴证期货(代客),230,116,国富期货(代客),352,184,永安期货(代客),267,123
20250715,IC2508,19,山金期货(代客),230,-110,中信建投(代客),338,113,兴业期货(代客),258,33
20250715,IC2508,20,金元期货(代客),228,120,海证期货(代客),299,-119,华西期货(代客),255,128
20250715,IC2509,1,中信期货(代客),12906,6316,中信期货(代客),14901,404,中信期货(代客),18012,808
20250715,IC2509,2,国泰君安(代客),12473,4413,国泰君安(代客),11081,569,国泰君安(代客),12710,116
20250715,IC2509,3,东证期货(代客),4580,1574,海通期货(代客),9457,618,海通期货(代客),6053,1100
20250715,IC2509,4,海通期货(代客),4546,689,东证期货(代客),5090,-38,华泰期货(代客),4450,-36
20250715,IC2509,5,中泰期货(代客),3798,2092,银河期货(代客),3589,-77,国投期货(代客),4172,-139
20250715,IC2509,6,国信期货(代客),3058,1311,中信建投(代客),3450,227,瑞银期货(代客),4018,0
20250715,IC2509,7,华闻期货(代客),2267,903,华泰期货(代客),3438,-78,东证期货(代客),3406,-38
20250715,IC2509,8,银河期货(代客),1840,911,中泰期货(代客),3183,408,银河期货(代客),3213,153
20250715,IC2509,9,瑞达期货(代客),1516,513,国投期货(代客),2169,-20,国信期货(代客),2830,-36
20250715,IC2509,10,招商期货(代客),1481,858,广发期货(代客),1832,104,中金财富(代客),2333,45
20250715,IC2509,11,广发期货(代客),1452,718,永安期货(代客),1777,101,招商期货(代客),2310,-55
20250715,IC2509,12,华泰期货(代客),1140,-17,申银万国(代客),1697,252,山金期货(代客),2040,4
