交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260312,IF2603,1,中信期货(代客),18925,2046,国泰君安(代客),15230,-876,中信期货(代客),17320,-941
20260312,IF2603,2,国泰君安(代客),16939,2316,中信期货(代客),12719,-248,国泰君安(代客),14597,-383
20260312,IF2603,3,东证期货(代客),7750,1005,海通期货(代客),6580,-52,华泰期货(代客),10851,-661
20260312,IF2603,4,海通期货(代客),6301,672,东证期货(代客),6010,-406,海通期货(代客),4854,-401
20260312,IF2603,5,华泰期货(代客),4898,2559,华泰期货(代客),5616,105,国投期货(代客),4516,-1927
20260312,IF2603,6,国投期货(代客),4570,-388,光大期货(代客),3906,18,东证期货(代客),4436,38
20260312,IF2603,7,国信期货(代客),4211,795,银河期货(代客),3642,-356,广发期货(代客),3523,-33
20260312,IF2603,8,广发期货(代客),2930,702,国信期货(代客),2414,470,银河期货(代客),3416,85
20260312,IF2603,9,中泰期货(代客),2754,894,国投期货(代客),2368,-1829,申银万国(代客),3257,16
20260312,IF2603,10,银河期货(代客),2453,350,中信建投(代客),2187,-625,中银期货(代客),2912,704
20260312,IF2603,11,中信建投(代客),2393,-396,永安期货(代客),2172,-235,瑞银期货(代客),2790,-266
20260312,IF2603,12,华闻期货(代客),2061,-362,中泰期货(代客),1994,186,国信期货(代客),2129,507
20260312,IF2603,13,永安期货(代客),1747,722,广发期货(代客),1757,37,中信建投(代客),1826,-436
20260312,IF2603,14,光大期货(代客),1635,-735,招商期货(代客),1398,-61,国富期货(代客),1750,-17
20260312,IF2603,15,招商期货(代客),1626,177,南华期货(代客),1396,-645,永安期货(代客),1714,-128
20260312,IF2603,16,兴证期货(代客),1586,289,兴证期货(代客),1385,-51,招商期货(代客),1407,-453
20260312,IF2603,17,中金期货(代客),1535,1000,申银万国(代客),1310,68,光大期货(代客),1384,-223
20260312,IF2603,18,南华期货(代客),1442,452,浙商期货(代客),1297,231,中泰期货(代客),1294,134
20260312,IF2603,19,东海期货(代客),1417,903,华闻期货(代客),1246,-377,华闻期货(代客),1107,-288
20260312,IF2603,20,瑞达期货(代客),1400,267,东海期货(代客),1041,16,中金财富(代客),1018,-87
20260312,IF2604,1,中信期货(代客),2475,1113,中信期货(代客),2714,292,国泰君安(代客),1991,505
20260312,IF2604,2,国泰君安(代客),2101,910,国泰君安(代客),2158,-48,中信期货(代客),1855,5
20260312,IF2604,3,海通期货(代客),1517,474,广发期货(代客),1005,24,中金期货(代客),1424,0
20260312,IF2604,4,东证期货(代客),1008,101,南华期货(代客),948,441,申银万国(代客),1114,-13
20260312,IF2604,5,南华期货(代客),525,375,光大期货(代客),854,36,中银期货(代客),1048,346
20260312,IF2604,6,中银期货(代客),444,261,东证期货(代客),826,115,摩根大通(代客),958,0
20260312,IF2604,7,大越期货(代客),386,367,海通期货(代客),690,145,海通期货(代客),894,150
20260312,IF2604,8,华泰期货(代客),283,186,大越期货(代客),641,378,东证期货(代客),644,169
20260312,IF2604,9,国信期货(代客),273,22,中信建投(代客),438,9,银河期货(代客),568,10
20260312,IF2604,10,国投期货(代客),239,18,永安期货(代客),409,20,国投期货(代客),436,102
20260312,IF2604,11,华闻期货(代客),200,118,银河期货(代客),362,10,国信期货(代客),312,50
20260312,IF2604,12,广发期货(代客),159,-16,华泰期货(代客),289,193,广发期货(代客),273,37
20260312,IF2604,13,银河期货(代客),140,-13,申银万国(代客),219,-33,招商期货(代客),234,12
20260312,IF2604,14,中泰期货(代客),134,83,平安期货(代客),189,-3,华闻期货(代客),216,52
20260312,IF2604,15,申银万国(代客),130,92,国信期货(代客),185,-55,平安期货(代客),180,83
20260312,IF2604,16,浙商期货(代客),128,48,宁证期货(代客),157,14,永安期货(代客),179,24
20260312,IF2604,17,东吴期货(代客),124,35,中泰期货(代客),149,67,中金财富(代客),171,5
20260312,IF2604,18,东海期货(代客),122,69,国投期货(代客),122,19,海证期货(代客),159,36
20260312,IF2604,19,国元期货(代客),114,103,建信期货(代客),113,37,华泰期货(代客),153,34
20260312,IF2604,20,宝城期货(代客),111,44,恒泰期货(代客),113,-1,中泰期货(代客),122,25
20260312,IF2606,1,中信期货(代客),9297,1715,国泰君安(代客),21489,1600,中信期货(代客),16983,1038
20260312,IF2606,2,国泰君安(代客),8606,2156,中信期货(代客),10838,103,国泰君安(代客),9715,684
20260312,IF2606,3,海通期货(代客),3934,719,大越期货(代客),3955,25,华泰期货(代客),7613,689
20260312,IF2606,4,东证期货(代客),2833,443,广发期货(代客),3621,108,海通期货(代客),7275,-107
20260312,IF2606,5,国信期货(代客),1961,501,东证期货(代客),3610,-44,东证期货(代客),5160,25
20260312,IF2606,6,华泰期货(代客),1661,907,永安期货(代客),3415,269,中金期货(代客),5059,700
20260312,IF2606,7,银河期货(代客),1242,266,海通期货(代客),2894,-139,国投期货(代客),4960,64
20260312,IF2606,8,中泰期货(代客),1227,588,宝城期货(代客),2890,175,招商期货(代客),4222,132
20260312,IF2606,9,永安期货(代客),1221,503,银河期货(代客),2728,6,摩根大通(代客),4008,0
20260312,IF2606,10,华闻期货(代客),1050,337,兴证期货(代客),2582,51,瑞银期货(代客),3423,142
20260312,IF2606,11,广发期货(代客),1000,261,浙商期货(代客),2427,53,国信期货(代客),3393,100
20260312,IF2606,12,瑞达期货(代客),958,560,国信期货(代客),2321,235,银河期货(代客),2818,96
20260312,IF2606,13,光大期货(代客),779,258,华泰期货(代客),1952,70,中金财富(代客),2766,76
20260312,IF2606,14,招商期货(代客),749,237,光大期货(代客),1950,-12,申银万国(代客),2327,53
20260312,IF2606,15,中金期货(代客),711,711,申银万国(代客),1648,-26,永安期货(代客),2019,4
20260312,IF2606,16,宏源期货(代客),689,456,国投期货(代客),1577,21,光大期货(代客),1955,163
20260312,IF2606,17,一德期货(代客),668,-76,南华期货(代客),1561,11,中信建投(代客),1637,19
20260312,IF2606,18,浙商期货(代客),587,304,一德期货(代客),1515,-268,广发期货(代客),1633,-106
20260312,IF2606,19,兴证期货(代客),546,12,国联期货(代客),1428,-13,中泰期货(代客),1294,215
20260312,IF2606,20,南华期货(代客),538,206,恒力期货(代客),1329,-1,华闻期货(代客),902,10
20260312,IF2609,1,中信期货(代客),3042,1112,国泰君安(代客),7919,188,华泰期货(代客),6450,-33
20260312,IF2609,2,国泰君安(代客),2875,809,中信期货(代客),5612,410,海通期货(代客),5778,216
20260312,IF2609,3,海通期货(代客),1835,-96,银河期货(代客),2167,-20,中信期货(代客),4802,580
20260312,IF2609,4,东证期货(代客),1478,389,浙商期货(代客),2055,-7,方正中期(代客),3472,1
20260312,IF2609,5,中泰期货(代客),887,174,海通期货(代客),1817,43,国泰君安(代客),3418,277
20260312,IF2609,6,中银期货(代客),767,758,宝城期货(代客),1804,276,瑞银期货(代客),3093,0
20260312,IF2609,7,国信期货(代客),569,163,东证期货(代客),1741,158,广发期货(代客),2339,-25
20260312,IF2609,8,大越期货(代客),552,497,广发期货(代客),1676,52,招商期货(代客),1473,19
20260312,IF2609,9,华闻期货(代客),477,180,中银期货(代客),1530,757,东证期货(代客),1340,172
20260312,IF2609,10,宏源期货(代客),465,-130,国投期货(代客),1211,-44,申银万国(代客),1328,32
20260312,IF2609,11,银河期货(代客),383,36,华泰期货(代客),878,65,宏源期货(代客),1157,412
20260312,IF2609,12,宝城期货(代客),368,305,平安期货(代客),848,-79,银河期货(代客),1094,167
20260312,IF2609,13,华泰期货(代客),272,-172,大越期货(代客),805,535,摩根大通(代客),785,12
20260312,IF2609,14,招商期货(代客),244,36,国信期货(代客),765,-79,国投期货(代客),760,24
20260312,IF2609,15,华联期货(代客),243,75,永安期货(代客),751,6,国信期货(代客),690,160
20260312,IF2609,16,广发期货(代客),235,-79,长江期货(代客),666,11,中泰期货(代客),648,177
20260312,IF2609,17,申银万国(代客),196,78,兴证期货(代客),631,-45,兴业期货(代客),621,2
20260312,IF2609,18,国投期货(代客),190,-64,中泰期货(代客),591,150,中金期货(代客),615,0
20260312,IF2609,19,浙商期货(代客),186,70,申银万国(代客),590,42,华闻期货(代客),589,204
20260312,IF2609,20,兴证期货(代客),161,-40,招商期货(代客),560,-29,中信建投(代客),566,10
