交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20250808,IM2508,1,中信期货(代客),12133,-2833,国泰君安(代客),8081,-764,中信期货(代客),10076,-1137
20250808,IM2508,2,国泰君安(代客),10512,-3917,中信期货(代客),6968,-1258,国泰君安(代客),6221,-976
20250808,IM2508,3,海通期货(代客),3810,-953,海通期货(代客),4042,-33,华泰期货(代客),2079,-130
20250808,IM2508,4,东证期货(代客),3204,-220,东证期货(代客),2569,133,东证期货(代客),2011,127
20250808,IM2508,5,国信期货(代客),2484,-472,摩根大通(代客),2037,0,中信建投(代客),1905,22
20250808,IM2508,6,中泰期货(代客),2072,-616,银河期货(代客),1860,-346,中泰期货(代客),1496,-284
20250808,IM2508,7,华闻期货(代客),1874,-227,华泰期货(代客),1630,-286,国投期货(代客),1447,-27
20250808,IM2508,8,申银万国(代客),1822,-156,广发期货(代客),1491,-74,光大期货(代客),1412,-15
20250808,IM2508,9,银河期货(代客),1458,-405,国信期货(代客),1297,-138,招商期货(代客),1355,-144
20250808,IM2508,10,华泰期货(代客),1374,-196,国投期货(代客),1268,-48,中银期货(代客),1302,-26
20250808,IM2508,11,广发期货(代客),1181,-574,中泰期货(代客),1202,-224,海通期货(代客),1275,-429
20250808,IM2508,12,光大期货(代客),1132,-139,招商期货(代客),1061,5,广发期货(代客),1257,-43
20250808,IM2508,13,招商期货(代客),915,34,中信建投(代客),946,30,申银万国(代客),1252,-99
20250808,IM2508,14,兴证期货(代客),893,-173,申银万国(代客),914,175,国信期货(代客),1196,-280
20250808,IM2508,15,永安期货(代客),878,94,方正中期(代客),780,44,银河期货(代客),1191,-96
20250808,IM2508,16,南华期货(代客),687,-61,光大期货(代客),773,45,中金期货(代客),1057,361
20250808,IM2508,17,国投期货(代客),679,-49,南华期货(代客),696,66,永安期货(代客),974,3
20250808,IM2508,18,中信建投(代客),576,-235,永安期货(代客),661,-233,华闻期货(代客),953,-592
20250808,IM2508,19,宝城期货(代客),549,130,瑞银期货(代客),624,-6,华西期货(代客),757,-50
20250808,IM2508,20,金元期货(代客),527,-77,华闻期货(代客),540,-150,方正中期(代客),690,26
20250808,IM2509,1,中信期货(代客),30687,-6457,国泰君安(代客),22096,-2230,中信期货(代客),36296,-1273
20250808,IM2509,2,国泰君安(代客),26667,-7396,中信期货(代客),21496,-356,国泰君安(代客),23868,-2305
20250808,IM2509,3,海通期货(代客),10348,-2893,东证期货(代客),7392,-311,华泰期货(代客),8292,-174
20250808,IM2509,4,东证期货(代客),8775,-3077,海通期货(代客),6626,-1044,东证期货(代客),7315,-394
