block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,vol_ratio,vol5_vs20,turnover,hi20,lo20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,stale,ex_gaps_recent,error
光通信,SZ,002132,恒星科技,20260922,4.21,-2.09,0.5,-0.2,-12.5,空头,4.27,4.26,4.32,4.51,-2.5,-6.6,-2.5,-0.057,-0.057,0.001,金叉(2日前),False,41.4,44.9,39.5,38.4,41.8,28.0,0.79,0.68,3.49,4.77,4.14,6.19,3.72,-32.0,20.0,0,False,False,20160519:-34.9%;20110407:-50.2%;20080520:-34.0%,
光通信,SZ,002179,中航光电,20260922,35.18,-1.26,1.4,3.4,5.4,震荡,35.19,34.95,34.75,35.57,1.2,-1.1,1.0,0.059,-0.087,0.294,,True,55.3,52.4,57.7,52.4,68.3,69.0,0.87,1.0,0.8,36.25,33.25,46.57,31.88,-24.5,22.0,0,False,False,20230516:-23.7%;20220613:-27.4%;20190517:-22.4%,
光通信,SZ,002222,福晶科技,20260922,71.15,1.99,12.1,7.0,11.6,强多头,69.58,67.42,67.25,65.59,5.8,8.5,2.4,1.113,0.615,0.996,金叉(5日前),True,73.6,60.0,79.5,68.5,101.6,97.0,1.61,1.38,7.28,72.68,62.28,92.16,47.3,-22.8,53.0,0,False,False,20160520:-34.9%;20110504:-35.2%,
光通信,SZ,002254,泰和新材,20260922,12.57,-1.18,3.1,-0.4,2.6,震荡,12.6,12.44,12.61,12.72,-0.3,-1.2,0.8,-0.037,-0.058,0.043,金叉(3日前),False,52.1,49.9,63.0,52.4,84.3,46.0,0.9,0.98,1.58,13.42,11.9,18.39,10.29,-31.6,28.0,0,False,False,20130516:-23.1%;20110608:-34.2%;20100611:-38.4%,
光通信,SZ,002276,万马股份,20260922,10.02,-1.38,0.9,-2.3,-2.4,震荡,10.05,10.08,10.21,10.09,-1.9,-0.7,-0.0,-0.062,-0.041,-0.042,,False,41.6,44.3,38.6,31.6,52.5,19.0,1.08,0.94,1.17,10.63,9.83,10.94,9.11,-8.4,50.0,0,False,False,20120328:-46.2%;20100407:-49.8%,
光通信,SZ,002281,光迅科技,20260922,190.37,-1.75,13.1,5.8,13.8,多头,191.19,183.57,179.66,188.07,6.0,1.2,2.6,2.073,-0.399,4.943,,True,60.3,55.0,72.1,64.9,86.7,82.0,0.95,1.28,3.81,199.48,163.0,264.88,152.33,-28.1,34.0,2,False,False,20170414:-67.5%,
光通信,SZ,002298,中电鑫龙,20260922,8.97,-2.5,4.7,6.4,12.7,强多头,8.76,8.56,8.44,8.1,6.3,10.7,2.4,0.147,0.073,0.149,金叉(3日前),True,62.1,58.5,64.2,59.4,73.8,93.0,1.57,1.46,9.91,9.6,7.89,9.61,6.35,-6.7,80.0,1,False,False,20120409:-50.7%;20100611:-33.1%,
光通信,SZ,002309,中利集团,20260922,2.96,-0.67,0.7,-3.6,0.0,震荡,2.96,2.99,3.01,2.99,-1.7,-0.9,-0.0,-0.032,-0.028,-0.009,,False,42.3,44.5,41.7,42.9,39.4,20.0,0.8,0.97,2.71,3.12,2.85,3.5,2.35,-15.4,53.0,0,False,False,20120516:-50.8%;20100416:-44.5%,
光通信,SZ,002313,日海智能,20260922,9.3,10.06,15.0,6.5,6.9,震荡,8.52,8.47,8.58,8.22,8.4,13.2,-0.3,0.05,0.033,0.033,金叉(1日前),True,79.5,66.0,56.5,38.7,92.1,118.0,2.12,0.87,4.85,9.3,8.0,9.3,6.82,0.0,100.0,1,True,False,20130510:-23.1%;20120417:-49.9%,
光通信,SZ,002384,东山精密,20260922,198.12,1.59,8.4,6.3,3.8,震荡,194.96,192.7,191.12,204.94,3.7,-3.3,-0.1,-1.138,-2.782,3.289,,False,63.5,52.9,61.6,58.4,68.0,78.0,1.33,1.08,5.72,208.5,176.75,280.08,161.8,-29.3,31.0,0,False,False,20180828:-33.0%;20140617:-49.4%;20120606:-49.8%,
