代码	名称	板块	收盘	MA5	MA10	MA20	MA60	5日%	20日%	MACD	K/D	量比	阶段	评分
sh688627	精智达	AIYJ	503.00	475.28	475.26	476.73	506.31	10.74	3.76	gold	65.0/49.8	1.38	弱势/下降通道	48.0
sz002384	东山精密	AIYJ	196.15	189.92	191.08	190.69	206.92	0.89	-2.45	gold	61.1/54.1	1.20	弱势/下降通道	48.0
sh688008	澜起科技	AIYJ	202.53	193.85	194.53	197.04	219.14	5.51	0.99	gold	63.3/47.3	1.35	弱势/下降通道	48.0
sz002050	三花智控	AIYJ	35.31	34.44	35.14	35.59	38.39	1.26	-3.81	gold_today	33.2/24.9	1.24	弱势/下降通道	47.0
sh600378	昊华科技	AIYJ	48.00	47.22	47.11	47.56	50.77	5.75	1.61	gold	61.1/47.6	1.10	弱势/下降通道	46.0
sh603738	泰晶科技	AIYJ	37.89	36.57	36.08	36.95	38.80	8.07	0.85	gold	72.3/57.1	1.15	弱势/下降通道	46.0
sz000657	中钨高新	AIYJ	61.76	61.22	60.44	61.89	66.04	5.54	-9.36	gold	65.5/54.0	0.89	弱势/下降通道	46.0
sz001309	德明利	AIYJ	413.09	396.98	403.63	407.35	505.48	2.57	-0.49	gold	40.5/32.8	1.26	弱势/下降通道	46.0
sh601133	柏诚股份	AIYJ	26.00	23.89	23.71	24.35	28.19	13.89	2.56	gold	61.8/41.7	1.98	弱势/下降通道	46.0
sh688126	沪硅产业	AIYJ	24.41	23.15	22.88	23.50	27.23	10.35	-0.89	gold	68.2/46.1	1.16	弱势/下降通道	46.0
sh688549	中巨芯	AIYJ	24.36	23.80	23.00	23.48	26.38	10.33	-10.44	gold	70.7/56.9	1.00	弱势/下降通道	46.0
sz002851	麦格米特	AIYJ	126.80	121.55	124.90	124.43	130.85	0.88	-0.98	gold_today	35.6/32.0	1.20	弱势/下降通道	45.0
sz301536	星宸科技	AIYJ	125.77	114.42	115.75	118.79	118.51	13.41	7.4	dead	48.1/29.4	1.65	横盘整理	41.0
sh688183	生益电子	AIYJ	121.20	123.17	125.47	121.88	114.81	-3.23	12.66	dead	32.1/42.3	0.97	中期回调	41.0
sz300489	光智科技	AIYJ	224.62	212.17	214.91	220.03	222.11	8.98	3.73	dead	41.1/30.7	1.36	横盘整理	41.0
sz002938	鹏鼎控股	AIYJ	89.88	89.49	90.38	89.00	92.11	-2.99	0.76	gold	43.3/49.0	1.13	上升趋势中回踩	39.0
sz300476	胜宏科技	AIYJ	227.05	226.27	228.63	233.68	251.44	-0.85	-10.52	gold_today	34.9/35.9	1.25	弱势/下降通道	31.0
sh601138	工业富联	AIYJ	62.71	61.74	63.32	62.94	63.37	-2.12	-0.21	dead	27.6/31.5	1.46	弱势/下降通道	21.0
sz002415	海康威视	AIYJ	32.94	32.79	33.30	34.19	34.90	-0.93	-4.24	dead	23.3/26.2	1.27	弱势/下降通道	21.0
