== 板块: AI硬件 (AIYJ.blk) ==
sh688710 益诺思 收94.92 5日+14.4% 20日-0.3% 评分61
sh688758 赛分科技 收32.80 5日+22.3% 20日+20.0% 评分89
sh688046 药康生物 收35.28 5日+18.4% 20日+2.7% 评分79
sh688202 美迪西 收106.20 5日+18.9% 20日+5.7% 评分72
sh688690 纳微科技 收47.20 5日+14.8% 20日+8.8% 评分76
sz300347 泰格医药 收57.39 5日+8.7% 20日+5.5% 评分85
sz002821 凯莱英 收185.20 5日+12.8% 20日+10.2% 评分92 [兼属另一板块]
sz301047 义翘神州 收114.07 5日+23.2% 20日-4.0% 评分73
sh688621 阳光诺和 收73.32 5日+6.9% 20日+11.1% 评分92
sh688222 成都先导 收39.97 5日+31.1% 20日+10.5% 评分83
sh603259 药明康德 收160.00 5日+5.8% 20日-1.8% 评分59 [兼属另一板块]
sh688073 毕得医药 收68.16 5日+22.5% 20日-4.8% 评分84
sh603127 昭衍新药 收45.76 5日+10.6% 20日-7.1% 评分53
sz300725 药石科技 收47.22 5日+14.8% 20日-8.2% 评分71
sz300363 博腾股份 收22.79 5日+11.5% 20日+4.1% 评分77
sz301080 百普赛斯 收109.48 5日+39.1% 20日+10.7% 评分90
sz301230 泓博医药 收35.21 5日+24.5% 20日-1.4% 评分50
sh688131 皓元医药 收98.79 5日+13.2% 20日+1.4% 评分69
sh688617 惠泰医疗 收240.00 5日-1.2% 20日-8.9% 评分52
sh688161 威高骨科 收21.34 5日-1.4% 20日-3.4% 评分19
sz300760 迈瑞医疗 收156.87 5日-3.6% 20日+1.6% 评分48
sh688578 艾力斯 收100.41 5日+0.9% 20日-13.8% 评分39
sh688428 诺诚健华 收28.36 5日+7.7% 20日-4.2% 评分33
sh600036 招商银行 收40.59 5日-1.8% 20日+4.3% 评分50
sz002142 宁波银行 收34.65 5日-2.4% 20日+1.7% 评分63
sz002653 海思科 收63.54 5日+1.5% 20日-4.5% 评分29
sz000739 普洛药业 收23.48 5日+7.0% 20日+13.3% 评分94
sz000504 南华生物 收10.01 5日+20.3% 20日+18.7% 评分94
sz300759 康龙化成 收43.30 5日+7.5% 20日-9.8% 评分61 [兼属另一板块]
sh688331 荣昌生物 收114.84 5日+0.1% 20日-8.5% 评分33
sh688271 联影医疗 收101.00 5日-2.0% 20日-4.7% 评分19
