排名,代码,名称,所属板块,收盘价,近5日%,近20日%,近60日%,量比(5/20),RSI14,MACD柱,近5日金叉,距250日高%,250日位置%,ATR14%,MA20斜率%,技术分,技术信号
83,SH603127,昭衍新药,关注个股,45.76,10.61,-7.12,23.41,0.98,47.1,0.131,是,-17.82,66.3,4.26,-4.3,36.0,MACD红柱放大/近5日MACD金叉
84,SZ000001,平安银行,关注个股,11.7,-0.34,2.54,14.37,0.86,49.2,-0.076,否,-3.15,81.8,1.64,1.05,35.0,逼近/创250日新高
85,SZ300285,国瓷材料,AI硬件,67.16,6.99,-1.03,-34.68,1.12,44.7,1.271,是,-40.5,50.3,5.33,-0.68,35.0,MACD红柱放大/近5日MACD金叉
86,SH601133,柏诚股份,AI硬件,26.0,13.89,2.56,-32.08,0.83,52.4,0.53,是,-43.11,41.0,4.19,-2.53,35.0,MACD红柱放大/近5日MACD金叉
87,SH688146,中船特气,AI硬件,239.2,5.68,-9.08,-37.97,1.17,39.6,2.884,是,-42.64,53.1,5.19,-5.08,35.0,MACD红柱放大/近5日MACD金叉
88,SH600036,招商银行,关注个股,40.59,-1.84,4.34,12.75,0.83,54.7,-0.204,否,-7.31,62.4,1.71,1.45,34.0,
89,SH601009,南京银行,关注个股,11.8,-3.59,0.17,15.23,0.86,54.2,-0.089,否,-5.14,75.3,2.13,0.73,34.0,
90,SZ301536,星宸科技,AI硬件,125.77,13.41,7.4,1.09,0.79,44.5,-0.565,否,-14.22,77.6,5.05,-1.49,33.0,
91,SZ002837,英维克,AI硬件,63.28,4.51,16.93,-23.36,0.56,36.8,-0.391,否,-48.02,23.0,4.64,2.53,33.0,
92,SZ002948,青岛银行,关注个股,6.05,-3.04,1.68,14.58,0.85,45.4,-0.08,否,-5.76,83.4,2.49,1.03,32.0,
93,SZ300620,光库科技,AI硬件,297.41,2.73,-2.5,-17.94,1.05,41.2,-1.18,否,-28.04,64.5,6.4,-1.63,32.0,
94,SZ002428,云南锗业,AI硬件,93.5,5.73,-7.32,-22.39,1.01,39.2,-0.208,否,-29.64,63.8,5.03,-3.4,32.0,
95,SZ301217,铜冠铜箔,AI硬件,113.29,5.63,-1.32,-33.48,1.04,38.5,1.365,是,-43.96,49.3,6.47,-1.62,31.0,MACD红柱放大/近5日MACD金叉
96,SZ301200,大族数控,AI硬件,271.17,4.61,-3.84,-26.86,1.03,45.4,0.864,是,-31.41,60.1,5.05,-2.98,31.0,MACD红柱放大/近5日MACD金叉
97,SH688008,澜起科技,AI硬件,202.53,5.51,0.99,-22.65,0.95,48.3,2.821,是,-39.16,42.1,4.28,-1.81,31.0,MACD红柱放大/近5日MACD金叉
98,SH603893,瑞芯微,AI硬件,190.04,5.4,5.22,4.42,0.74,45.9,0.284,是,-18.94,50.1,4.03,-1.26,31.0,MACD红柱放大/近5日MACD金叉
99,SH688627,精智达,AI硬件,503.0,10.74,3.76,-23.05,0.83,46.2,5.355,是,-31.69,63.1,6.92,-1.97,29.0,MACD红柱放大/近5日MACD金叉
100,SH600378,昊华科技,AI硬件,48.0,5.75,1.61,-22.95,0.8,39.1,0.145,是,-45.52,33.3,6.52,-0.1,29.0,MACD红柱放大/近5日MACD金叉
101,SH603738,泰晶科技,AI硬件,37.89,8.07,0.85,-41.07,0.84,44.3,0.361,是,-45.36,43.0,5.07,-1.01,29.0,MACD红柱放大/近5日MACD金叉
102,SH600546,山煤国际,关注个股,13.39,0.68,1.36,19.45,0.71,37.7,-0.111,否,-14.88,61.5,3.73,0.13,28.0,
103,SH600941,中国移动,关注个股,96.63,-1.12,0.39,11.3,0.79,34.9,-0.745,否,-11.84,46.4,1.37,0.23,28.0,
104,SZ300308,中际旭创,AI硬件,926.43,0.05,-1.76,-26.12,0.91,60.6,22.146,否,-34.61,54.6,4.71,-1.49,28.0,MACD红柱放大
105,SH688183,生益电子,AI硬件,121.2,-3.23,12.66,-8.11,0.91,42.3,-1.536,否,-21.27,61.7,6.42,2.84,27.0,
106,SH600028,中国石化,关注个股,5.16,-6.52,1.18,14.16,0.8,35.6,-0.104,否,-36.37,19.8,2.73,0.65,26.0,低位区
107,SZ002851,麦格米特,AI硬件,126.8,0.88,-0.98,-21.12,0.95,46.9,0.017,是,-33.26,48.8,6.55,-0.97,26.0,MACD红柱放大/近5日MACD金叉
108,SH601101,昊华能源,关注个股,12.92,-2.49,1.57,18.86,0.45,23.6,-0.366,否,-15.67,70.8,4.21,0.47,25.0,
109,SH601318,中国平安,关注个股,53.37,-2.66,0.04,13.0,0.71,37.3,-0.935,否,-28.73,23.1,2.35,0.74,25.0,
110,SZ301591,肯特股份,AI硬件,44.43,2.28,17.6,-14.74,0.66,28.4,-1.854,否,-26.54,57.2,8.81,5.66,25.0,
111,SZ002536,飞龙股份,AI硬件,53.64,0.64,14.2,11.47,0.67,47.7,-1.35,否,-16.15,76.4,7.13,4.25,25.0,
112,SZ300489,光智科技,AI硬件,224.62,8.98,3.73,-20.7,0.98,42.6,-1.744,否,-31.89,63.8,7.37,-2.54,25.0,
113,SZ002938,鹏鼎控股,AI硬件,89.88,-2.99,0.76,-19.01,0.98,44.2,0.656,否,-26.99,58.9,5.13,-0.56,25.0,
114,SZ002384,东山精密,AI硬件,196.15,0.89,-2.45,-24.65,0.99,48.7,2.616,否,-29.97,62.0,5.11,-2.0,24.0,MACD红柱放大
115,SH603929,亚翔集成,AI硬件,163.68,5.81,-1.98,-37.25,0.89,48.3,2.239,是,-42.57,51.0,4.4,-2.39,24.0,MACD红柱放大/近5日MACD金叉
116,SZ002050,三花智控,AI硬件,35.31,1.26,-3.81,-14.92,1.09,43.5,0.023,是,-41.9,9.0,2.79,-2.21,24.0,MACD红柱放大/近5日MACD金叉/低位区
117,SZ300760,迈瑞医疗,关注个股,156.87,-3.6,1.57,17.08,0.6,31.9,-3.361,否,-36.99,22.2,2.46,0.88,23.0,
118,SH601225,陕西煤业,关注个股,25.2,-3.26,-2.06,21.74,0.74,22.5,-0.369,否,-10.64,64.6,2.98,0.09,23.0,
119,SH601088,中国神华,关注个股,46.23,-2.69,-0.39,16.83,0.71,27.7,-0.463,否,-9.67,63.4,2.38,0.43,23.0,
120,SZ000657,中钨高新,AI硬件,61.76,5.54,-9.36,-37.94,1.1,39.7,0.445,是,-45.82,46.5,4.58,-2.83,21.0,MACD红柱放大/近5日MACD金叉
121,SH688617,惠泰医疗,关注个股,240.0,-1.17,-8.92,32.4,0.88,44.7,-3.423,否,-28.83,39.6,3.56,0.45,20.0,
122,SZ001309,德明利,AI硬件,413.09,2.57,-0.49,-56.56,0.86,42.4,7.424,否,-57.85,36.1,4.67,-1.15,20.0,MACD红柱放大
123,SH600938,中国海油,关注个股,32.3,-4.75,-4.61,18.01,0.93,27.8,-0.534,否,-27.48,35.7,3.19,-0.25,17.0,
124,SH688428,诺诚健华,关注个股,28.36,7.71,-4.19,12.09,0.88,50.3,-0.281,否,-14.91,64.4,5.6,-1.84,16.0,
125,SZ300476,胜宏科技,AI硬件,227.05,-0.85,-10.52,-28.95,0.92,38.8,0.354,是,-43.6,21.9,4.4,-3.44,16.0,MACD红柱放大/近5日MACD金叉
126,SH601628,中国人寿,关注个股,37.8,-0.5,2.08,7.88,0.61,44.5,-0.22,否,-27.2,28.0,2.43,0.37,12.0,
127,SH688578,艾力斯,关注个股,100.41,0.92,-13.81,7.42,1.09,27.9,-1.651,否,-27.4,36.3,3.1,-4.23,9.0,
128,SZ300298,三诺生物,关注个股,15.63,2.96,-2.62,14.51,0.92,42.7,-0.066,否,-27.2,27.9,1.94,-0.89,9.0,
129,SH601857,中国石油,关注个股,10.56,-6.05,-5.71,18.25,0.97,23.5,-0.199,否,-22.86,44.6,2.75,-0.38,9.0,
130,SH688161,威高骨科,关注个股,21.34,-1.43,-3.35,5.8,0.82,44.1,-0.259,否,-42.79,8.6,3.06,-1.26,8.0,低位区
131,SH600188,兖矿能源,关注个股,19.68,-7.95,-8.08,9.45,0.89,21.1,-0.589,否,-29.21,45.2,4.75,-1.98,7.0,
132,SH601898,中煤能源,关注个股,13.86,-5.91,-3.08,10.79,0.66,21.8,-0.335,否,-29.89,32.8,3.84,-0.13,7.0,
133,SH601699,潞安环能,关注个股,15.19,-3.37,-8.99,1.95,0.69,18.5,-0.385,否,-23.13,43.0,3.96,-1.44,7.0,
134,SH688016,心脉医疗,关注个股,84.76,1.95,-8.33,-1.53,0.62,27.6,-0.292,否,-26.93,7.1,1.51,-2.35,5.0,低位区
135,SZ300633,开立医疗,关注个股,19.0,-1.35,-8.17,5.73,0.92,42.9,-0.303,否,-48.51,9.1,3.63,-2.01,5.0,低位区
136,SH688271,联影医疗,关注个股,101.0,-2.05,-4.72,2.82,0.76,40.0,-0.641,否,-36.5,8.1,2.3,-1.62,3.0,低位区
137,SH601336,新华保险,关注个股,58.18,-0.21,-1.04,-2.38,0.55,40.1,-0.461,否,-32.23,10.3,2.28,-0.16,3.0,低位区
138,SZ002653,海思科,关注个股,63.54,1.52,-4.52,14.47,0.63,38.1,-0.692,否,-21.39,55.0,3.65,-1.98,2.0,
139,SH688331,荣昌生物,关注个股,114.84,0.1,-8.49,1.64,0.76,39.2,-1.359,否,-27.22,48.1,3.82,-3.14,2.0,
140,SH688235,百济神州,关注个股,256.0,3.52,-11.5,10.3,0.79,35.7,-2.39,否,-25.8,36.2,2.62,-3.39,2.0,
141,SH601138,工业富联,AI硬件,62.71,-2.12,-0.21,-10.69,0.8,44.4,-0.392,否,-26.18,40.9,3.4,-0.99,2.0,
142,SZ002415,海康威视,AI硬件,32.94,-0.93,-4.24,-1.14,0.67,16.8,-0.366,否,-15.93,41.0,2.34,-1.26,2.0,
-,SH688825,长鑫科技,,N/A(本地缺日线数据),,,,,,,,,,,,,
